url|originalTitle|translatedTitle|originalText|translatedText|originalShortText|translatedShortText|source|datePublished
http://24vesti.mk/mnr-incidentot-so-migrantite-kaj-idomeni-e-pottiknat-od-nvo-aktivisti|МНР: Инцидентот со мигрантите кај Идомени е поттикнат од НВО активисти|MFA: the Incident with the migrants in Идомени is prompted by NGO activists|Организираните масовни и координирани обиди за илегален премин на границата, што се случија вчера, според многу аспекти, вклучувајќи ја и вмешаноста на активисти на невладини организации, имаат карактеристики и наликуваат на сличниот инцидент за масовно илегално преминување на границата од 14 март годинава во кој беа инволвирани 2.500 мигранти. Ова се вели во соопштението на Министерството за надворешни работи во врска со вчерашниот инцидент на македонско-грчката граница кај Идомени во кој беа повредени 23 припадници на македонските безбедносни сили кои спречија над 3.000 мигратни насилно да влезат од Грција на македонска територија.  - Различни извештаи говорат дека во обидот да ја поминат грчко-македонската граница со употреба на насилство мигрантите биле поттикнати, заведени и организирани од активисти на невладини организации.  Било регистрирано и дистрибуирање на летоци кои содржеле лажни информации дека штом мигрантите успеат да ја поминат грчко-македонската граница со употреба на насилство тие ќе можат непречено да го продолжат својот пат до земјите членки на ЕУ, се посочува во соопштението. Според МНР, македонските безбедносни сили, заедно со полициски службеници од неколку земји членки на ЕУ кои се распоредени на јужната граница, согласно Програмата за соработка на ЕУ и Македонија за поддршка на менаџирањето на границата заради справување со мигрантската криза, одговорија брзо и согласно ситуацијата и спречија нелегален влез.  Притоа наведуваат дека не е повреден ниту еден од мигрантите кои учествуваа во насилните протести.                                                                                        Има ли недостатоци во Законот за свиркачи?                                                                    Грчкиот амбасадор во Македонија со демарш поради случувањата во Идомени                                                                    Демократски сојуз: Решенијата на Владата се спротивни на Уставот|The organized massive and coordinated attempts for illegal crossing of the border, that took place yesterday, according to many aspects, including the involvement of activists of non-governmental organizations, have the features and looks like a similar incident of mass illegal crossing of the border by the 14 march this year in which were involved about 2500 migrants. This is stated in the press release of the Ministry of foreign affairs in connection with yesterday's incident on the Macedonian-Greek border in Идомени in who were injured 23 members of the Macedonian security forces which prevented over 3.000 мигратни forcibly to enter Greece on the Macedonian territory. - Various reports suggest that in the attempt to pass the Greek-Macedonian border with the use of violence, the migrants were solicited, recorded and organized by the activists of non-governmental organizations. Any registered, and the distribution of leaflets that содржеле false information that as soon as the migrants fail to pass the Greek-Macedonian border with the use of violence, they will be able to smoothly continue its path to the EU member states, indicate in a statement. According to the MFA, the Macedonian security forces along with police officers from several member states of the EU that are deployed on the southern border, according to the Program of cooperation of the EU and Macedonia for the support of the management of the border for dealing with мигрантската crisis, responded quickly and according to the situation and prevented the illegal entry. It stated that it is not hurt none of the migrants who participated in the violent protests. Is there any shortcomings in the Law on свиркачи? The Greek ambassador in Macedonia with a demarche due to the developments in the Идомени Democratic alliance: the Decisions of the Government are contrary to the Constitution|||24 VESTI|11.04.2016 - 11:04
http://24vesti.mk/grchkiot-ambasador-vo-makedonija-so-demarsh-poradi-sluchuvanjata-vo-idomeni|Грчкиот амбасадор во Македонија со демарш поради случувањата во Идомени|The Greek ambassador in Macedonia with a demarche due to the developments in the Идомени|Шефот на Канцеларијата за врски на Грција во Македонија, амбасадорот Теохарис Лалакос упатил два демаршa до македонските власти во врска со „неприфатливите епизоди што се случија во Идомени“, соопшти грчкото Министерство за надворешни работи. - Амбасадорот Лалакос јасно стави до знаење на најкатегоричен начин дека употребата на насилство со ништо не придонесува за решавање на проблемот со бегалците и е во директен судир со соодветните одредби на меѓународното и хуманитарното право, се вели во соопштението. Тој, според грчкото МНР,  ги повикал властите во Македонија „да одговорат соодветно на условите и да покажат соодветна одговорност, воздржаност и сериозност“.                                                                                        Има ли недостатоци во Законот за свиркачи?                                                                    МНР: Инцидентот со мигрантите кај Идомени е поттикнат од НВО активисти                                                                    Демократски сојуз: Решенијата на Владата се спротивни на Уставот|The head of the Office for relations of Greece, in Macedonia, the ambassador Теохарис Лалакос issued two демарша to the Macedonian authorities in connection with the "неприфатливите episodes that took place in the Идомени", announced the Greek Ministry of foreign affairs. - Ambassador Лалакос clear put to knowledge of the најкатегоричен way that the use of violence with nothing to contribute to the solution of the problem of the refugees and is in direct conflict with the relevant provisions of international law and humanitarian law, said in a statement. He, according to the Greek MFA, has called the authorities in Macedonia, "to respond appropriately to the conditions and to demonstrate appropriate responsibility, restraint and seriousness". Is there any shortcomings in the Law on свиркачи? MFA: the Incident with the migrants in Идомени is encouraged by the NGO activists Democratic union: the Decisions of the Government are contrary to the Constitution|||24 VESTI|11.04.2016 - 10:47
http://24vesti.mk/demokratski-sojuz-reshenijata-na-vladata-se-sprotivni-na-ustavot|Демократски сојуз: Решенијата на Владата се спротивни на Уставот|Democratic alliance: the Decisions of the Government are contrary to the Constitution|Повеќе од јасно е дека на 5 јуни нема да има избори, поради што Демократскиот сојуз ги повикува министрите и замениците министри да ги повлечат оставките и да продолжат да работат со полн капацитет, се вели во соопштението на партијата. Воедно, како што стои, Демократскиот сојуз предупредува на можните безбедносни проблеми доколку во МВР се наруши принципот на хиерархија и натаму се практикува паралелно дејствување од дополнителниот заменик министер.  Поради ова, ДС бара Владата да ги повлече поединечните кадровски решенија бидејќи тие ќе предизвикаат целосен хаос и парализа на највиталната институција.  Овие решенија се спротивни на Уставот и законите поради што треба Уставниот суд со времена мерка да ги суспендира и сите решенија на Владата да ги поништи. Македонија е во криза и затоа повикуваме на политички дијалог и договор, реактивирање на Парламентот и деблокирање на другите институции за да се спроведат реформи, кадровски промени и да се создадат услови за избори, се вели во соопштението на ДС.                                                                                         Има ли недостатоци во Законот за свиркачи?                                                                    МНР: Инцидентот со мигрантите кај Идомени е поттикнат од НВО активисти                                                                    Грчкиот амбасадор во Македонија со демарш поради случувањата во Идомени|More than clear is that on June 5 there will be no elections, due to which the Democratic alliance calls upon the ministers and deputy ministers to withdraw оставките and continue to operate with full capacity, said in a statement on the party. At the same time, as it stands, the Democratic union warns of possible security problems, if the ministry of the INTERIOR, disturb the principle of the hierarchy and continue to be practiced parallel action of the additional deputy minister. Because of this, DS requires the Government to withdraw the individual staffing solutions because they will cause complete chaos and paralysis of the највиталната institution. These solutions are the opposite of the Constitution and the laws because you have the Constitutional court with the interim measure to suspend all the solutions of the Government to annul. Macedonia is in crisis and therefore we call for political dialogue and agreement, reactivate the Parliament and unblock of other institutions to carry out reforms, personnel changes and to create the conditions for elections, said in a statement on DS. Is there any shortcomings in the Law on свиркачи? MFA: the Incident with the migrants in Идомени is encouraged by the NGO activists by the Greek ambassador in Macedonia with a demarche due to the developments in the Идомени|||24 VESTI|11.04.2016 - 10:28
http://24vesti.mk/dik-na-sednica-kje-go-razgleduva-izveshtajot-za-progresot-vo-izbirachkiot-spisok|ДИК на седница ќе го разгледува извештајот за прогресот во Избирачкиот список|SEC of the meeting will consider the report about the progress in the Voter list|Државната изборна комисија денеска ќе одржи седница на која ќе го разгледа Извештајот за прогресот од вкрстените, теренските и административните проверки заради ажурирање на Избирачкиот список, заклучно со денешниот датум. Членовите на Комисијата ќе го утврдуваат и начинот на постапување по прашањата од теренските проверки врз основа на Правилникот за методологијата за водење и ажурирање на Избирачкиот список.                                                                                         Има ли недостатоци во Законот за свиркачи?                                                                    МНР: Инцидентот со мигрантите кај Идомени е поттикнат од НВО активисти                                                                    Грчкиот амбасадор во Македонија со демарш поради случувањата во Идомени|The state election commission today will hold a session on which will consider the Report about the progress of the crossed, field and administrative checks due to the update of the Voter list, as of today's date. The members of the Commission will determine and manner of the proceedings upon questions from the field checks on the basis of the Rulebook on the methodology for maintaining and updating the Voters list. Is there any shortcomings in the Law on свиркачи? MFA: the Incident with the migrants in Идомени is encouraged by the NGO activists by the Greek ambassador in Macedonia with a demarche due to the developments in the Идомени|||24 VESTI|11.04.2016 - 10:23
http://24vesti.mk/pcer-izborite-kje-se-odlozhat-za-4-ili-za-11-septemvri|ПЦЕР: Изборите ќе се одложат за 4 или за 11 септември|ПЦЕР: the Elections will be postponed for 4 or September 11,|Партијата за целосна еманципација на ромите ПЦЕР нагласува дека од свои извори дознава дека изборите ќе мора да се одложат, а Трајко Вељаноски ќе мора да закаже седница и да ги повика пратениците затоа што се уште му трае мандатот.  На таа седница, нагласуваат од ПЦЕР, ќе се донесе одлука за одложување на изборите и продолжување со работа до датумот на изборите, односно завршување на договореното од Пржинскиот договор. „За распуштање на Парламентот ќе се донесе одлука откако ќе се утврди датумот на избори односно 4 или 11 септември, значи на 60 дена пред избори“, велат од ПЦЕР.                                                                                         Има ли недостатоци во Законот за свиркачи?                                                                    МНР: Инцидентот со мигрантите кај Идомени е поттикнат од НВО активисти                                                                    Грчкиот амбасадор во Македонија со демарш поради случувањата во Идомени|The party for full emancipation of the roma ПЦЕР emphasizes that from their own sources came to know that the election will have to be postponed, and Trajko Parliament will have to schedule a meeting and urged the members of parliament because you are still his last mandate. At that meeting, the stress of the ПЦЕР, you have made a decision to postpone the elections and continue with the work until the date of the elections, i.e. the completion of the agreed from the Пржинскиот agreement. "The dissolution of Parliament will make a decision after you determine the date of elections i.e. 4 or 11 September, means of 60 days before the elections", say from the ПЦЕР. Is there any shortcomings in the Law on свиркачи? MFA: the Incident with the migrants in Идомени is encouraged by the NGO activists by the Greek ambassador in Macedonia with a demarche due to the developments in the Идомени|||24 VESTI|11.04.2016 - 09:36
http://24vesti.mk/stabilna-situacijata-na-makedonsko-grchkata-granica|Стабилна ситуацијата на македонско-грчката граница|The stable situation on the Macedonian-Greek border|Ситуацијата на македонско-грчката граница утрово е стабилна и мирна, по вчерашниот насилен обид за влегување на македонска територија од страна на бегалците кои се наоѓаат во кампот во Идомени.  Според раководителот на ПТЦ Гевгелија, Зоран Лазаровски, ситуацијата во и околу кампот е мирна, како што е и на граничниот камен 59 и дека во Гевгелија е видливо зголеменото присуство на нашите безбедносни сили, кои се подготвени да интервенираат во секој момент во заштита на границата.   Директорот на болницата Сретко Јованов утрово за МИА изјави дека само еден, од 15 - те повредени припадници на безбедносните сили поради сериозноста на повредите е префрлен на лекување во Клиничкиот центар во Скопје, а останатите 14 по санирање на повредите се вратени во своите единици.                                                                                         Има ли недостатоци во Законот за свиркачи?                                                                    МНР: Инцидентот со мигрантите кај Идомени е поттикнат од НВО активисти                                                                    Грчкиот амбасадор во Македонија со демарш поради случувањата во Идомени|The situation of the Macedonian-Greek border this morning is stable and calm, after yesterday's violent attempt for entry of Macedonian territory by the refugees located in a camp in the Идомени. According to the head of the ПТЦ Gevgelija, Zoran Лазаровски, the situation in and around the camp is calm, as it is a border stone 59 and that in Gevgelija is visibly increased the presence of our security forces, who are ready to intervene at any moment in the protection of the border. The director of the hospital Сретко Jovanov this morning for the MIA said that the only one, of the 15 injured members of the security forces because of the severity of the injuries is transferred to the treatment in the Clinical centre in Skopje, and the remaining 14 after curing of the injuries were sent back to their units. Is there any shortcomings in the Law on свиркачи? MFA: the Incident with the migrants in Идомени is encouraged by the NGO activists by the Greek ambassador in Macedonia with a demarche due to the developments in the Идомени|||24 VESTI|11.04.2016 - 09:28
http://24vesti.mk/frodem-dimitriev-go-suspendira-dogovorot-od-przhino|ФРОДЕМ: Димитриев го суспендира Договорот од Пржино|ФРОДЕМ: Димитриев suspend the Contract of the Пржино|Фронт за демократска Македонија (ФРОДЕМ) остро реагира на суспендирањето на Договорот од Пржино од страна на Емил Димитриев, кој, како што се наведува, противправно се стави во позиција на времен премиер кој поништува поединечни акти и одлуки. „Владата на Македонија, согласно Уставот на РМ, и одлуката за распуштање на парламентот е во оставка. Тоа значи дека таа врши само технички работи се до изборот на новиот парламент и новата влада.  Дополнително со ваквото дејствие се прекршува договорот од Пржино со што директно се влошува стабилноста на земјата. ФРОДЕМ го потсетува Зоран Заев како лидер на опозицијата дека министрите кои се поставени согласно договорот од Пржино не се негови министри, ниту на СДСМ, туку се министри кои произлегоа од големото народно и граѓанско собирање од 17 мај 2015 година.  Овие министри и заменици министри се гарантори на елементарната безбедност на граѓаните од режимот, а воедно треба да создадат услови за одржување легални избори.  Сите политички тактизирања за оставки на министрите и жалбите за „држење во заложништво на министрите“ ги сметаме за целосно непотребни“, се наведува во соопштението.  Од движењето велат дека дополнителниот технички министер на МВР, Чавков е неуставно и незаконски избран, а улогата на други дополнителни министри, како на Кире Наумов, е суспендирана затоа што не се почитува неговата несогласност со одлуките за енормното задолжување на земјата донесувани од министерот Ставрески, кои се незаконски.                                                                                        Има ли недостатоци во Законот за свиркачи?                                                                    МНР: Инцидентот со мигрантите кај Идомени е поттикнат од НВО активисти                                                                    Грчкиот амбасадор во Македонија со демарш поради случувањата во Идомени|Front for democratic Macedonia (ФРОДЕМ) sharply reacts to the суспендирањето of the Treaty of Пржино by Emil Димитриев, which, as stated, illegal is put in the position of temporary prime minister, which invalidates individual acts and decisions. "The government of Macedonia, in accordance with the Constitution of the republic of MACEDONIA, and the decision to dissolve the parliament in the resignation. It means that she performed only technical issues until the election of a new parliament and a new government. Additionally, with this action violates the treaty of Пржино which directly deteriorate the stability of the country. ФРОДЕМ remind Zoran Zaev as the leader of the opposition that the ministers who are set in accordance with the agreement of the Пржино not its ministers, nor the SDSM, but are ministers who stemmed from the great people's and citizens ' collection from 17 may 2015. These ministers and deputy ministers are гарантори of елементарната security of the citizens of the regime, and at the same time you need to create the conditions for maintaining legal elections. All political тактизирања for the resignations of the ministers and appeals "holding in their custody of the ministers" consider them completely unnecessary", stating in a statement. Of the movement say that the additional technical minister of the ministry of INTERIOR, Чавков is неуставно and illegally elected, and the role of other additional ministers, such as Kire Naumov, has been suspended because of not respecting his disagreement with the decisions for енормното borrowing of earth taken by the minister Stavreski, which are illegal. Is there any shortcomings in the Law on свиркачи? MFA: the Incident with the migrants in Идомени is encouraged by the NGO activists by the Greek ambassador in Macedonia with a demarche due to the developments in the Идомени|||24 VESTI|11.04.2016 - 09:23
http://24vesti.mk/pdp-budno-sledime-dali-kje-se-sozdadat-uslovi-za-fer-izbori|ПДП: Будно следиме дали ќе се создадат услови за фер избори|PDP: We follow will create the conditions for fair elections|ПДП ќе донесе одлука за нејзиното учество на предвремените избори на 5 јуни откако ќе се создадат услови за фер и демократски избори. „Aнализирајќи ги политичките настани по распуштањето на Собранието на Македонија како и можното потпишување на „одлуката на 15 април за организирање предвремени парламентари избори на 5 јуни, Партијата за Демократски Просперитет ги поддржува ставовите на меѓународната заедница претставени преку амбасадорот на ЕУ Орав, амбасадорот на САД Бејли, високата претставничка за надворешна политика на ЕУ Могерини како и амбасадорот на Обединетото Кралство Чарлс Гарет дека институциите на земјата надлежни за организирање на избори се уште имаат малку време за исполнување на условите за фер, демократски и кредибилни избори како што се слободни медиуми, дефинитивно прочистување на изборниот список, престанок на заплашување на администрацијата како и давањето силна поддршка на СЈО.  ПДП во натамопниот тек будно ќе ги следи процесите на создавање услови за кредибилни избори и дополнително ќе се произнесе по истото“, се вели во партиското соопштение.                                                                                        Има ли недостатоци во Законот за свиркачи?                                                                    МНР: Инцидентот со мигрантите кај Идомени е поттикнат од НВО активисти                                                                    Грчкиот амбасадор во Македонија со демарш поради случувањата во Идомени|The PDP will make a decision on her participation in the early elections of June 5 after you create the conditions for fair and democratic elections. "By analyzing the political events after the dismissal of the Parliament of Macedonia as well as the possible signing of the "decision of 15 April to organize the early parliamentary elections of 5 June, the Party for Democratic Prosperity supports the views of the international community represented by the ambassador of the EU Orav, the ambassador of the united states Bailey, the high representative for the EU foreign policy Могерини as well as the ambassador of the United Kingdom Charles Garrett that the institutions of the country responsible for organizing the elections still have little time for fulfilling the conditions for fair, democratic and кредибилни choices such as free media, definitely the cleansing of the electoral list, the termination of the intimidation of the administration as well as giving strong support to the СЈО. PDP in натамопниот course we will follow the processes of creating conditions for кредибилни choices and additionally you will be no after the same thing“, says in the party announcement. Is there any shortcomings in the Law on свиркачи? MFA: the Incident with the migrants in Идомени is encouraged by the NGO activists by the Greek ambassador in Macedonia with a demarche due to the developments in the Идомени|||24 VESTI|11.04.2016 - 09:14
http://24vesti.mk/obama-najgolema-greshka-e-neuspehot-po-intervencijata-vo-libija|Обама: Најголема грешка е неуспехот по интервенцијата во Либија|Obama: the Biggest mistake is the failure after the intervention in Libya|Претседателот на САД Барак Обама смета дека најголема грешка, која ја направил во текот на својот мандат, е неуспехот во планирањето по соборувањето од власт на либискиот претседател Моамер Гадафи во 2011 година. Тој во интервју за Фокс њуз, истакна дека смета дека интервенцијата во Либија „била исправна“, но оти не е успешно испланирано што да се прави потоа. Обама вели дека интервенцијата во Либија минала најдобро што можела, но оцени дека Либија и денес е во хаос. Обама минатата недела изјави оти имал „повеќе верба“ во Европејците дека ќе се вклучат во периодот по интервенцијата со оглед на нивната географска близина и ја обвини нивната пасивност за хаосот во земјата.                                                                                        Русија на Иран му го испорача ракетниот систем С-300                                                                    Кери го посети меморијалниот музеј во Хирошима                                                                    Најмалку четири лица загинаа во земјотрес во Пакистан|The president of the united states Barack Obama considered that the greatest error, which was made in the course of its mandate, is the failure in the planning process after the overthrow of the government of the libyan president Моамер Гадафи in 2011. He in an interview on Fox news, noted that it considered that the intervention in Libya "was right", but that is not successfully испланирано what to do then. Obama says the intervention in Libya passed the best that could, but held that Libya today is in a mess. Obama last week said he had "more faith" in the Europeans that will be included in the period after the intervention, given their geographical proximity and accused their passivity for the chaos in the country. Russia, of Iran shall deliver the rocket system S-300 Kerry visited the memorial museum in Hiroshima at Least four people were killed in the earthquake in Pakistan|||24 VESTI|11.04.2016 - 10:17
http://24vesti.mk/keri-go-poseti-memorijalniot-muzej-vo-hiroshima|Кери го посети меморијалниот музеј во Хирошима|Kerry visited the memorial museum in Hiroshima|Американскиот државен секретар Џон Кери и министрите за надворешни работи на останатите шест земји од Г-7,  денеска во меморијалниот Парк и музеј во Хирошима им оддадоа почит на 140.000 жртви на американското бомбардирање на 6 август 1945 година, пренесоа американските медиуми. Во Г-7 сега членуваат САД, Јапонија, Велика Британија, Франција, Германија, Италија и Канада. Кери е првиот американски државен секретар, кој го посетува музејот на жртвите на бомбардирањето на Хирошима, посочуваат британските медиуми.  Споменикот за првпат го посетуваат и министрите за надворешни работи на Франција и Велика Британија - другите две нуклеарни држави во Г-7, освен САД. - Се надевам дека оваа посета пред светот ќе покаже колку е важен мирот и колку е важно силните сојузници да работат заедно за светот да го направат побезбеден и за да можеме на крајот да го ослободиме од оружјето за масово уништување, изјави Кери пред јапонскиот шеф на дипломатијата Фумио Кишида, домаќин на средбата на министрите за надворешни работи и пратеник од Хирошима.                                                                                        Русија на Иран му го испорача ракетниот систем С-300                                                                    Обама: Најголема грешка е неуспехот по интервенцијата во Либија                                                                    Најмалку четири лица загинаа во земјотрес во Пакистан|U.s. secretary of state John Kerry and ministers of foreign affairs of the remaining six countries of the G-7, today at the memorial Park and museum in Hiroshima they оддадоа respect per 140,000 victims of the american bombing of 6 August 1945, transferred the american media. In the G-7 now are members of the united states, Japan, Britain, France, Germany, Italy and Canada. Kerry is the first american secretary of state, who is visiting the museum of the victims of the bombing of Hiroshima, reported british media. The monument for the first time attended by the ministers for foreign affairs of France and The Uk - the other two nuclear states in the G-7, except the united states. - I hope that this visit before the world will show how much is important the peace and how important strong allies to work together for the world to make it safer and to be able at the end to rid of the weapon for масово destruction, said Kerry before the japanese head of the diplomacy Фумио Кишида, the host of the meeting of the ministers for foreign affairs and mp from Hiroshima. Russia, of Iran shall deliver the rocket system S-300 Obama: the Biggest mistake is the failure after the intervention in Libya at Least four people were killed in the earthquake in Pakistan|||24 VESTI|11.04.2016 - 08:36
