url|originalTitle|translatedTitle|originalText|translatedText|originalShortText|translatedShortText|source|datePublished
http://fokus.mk/ahmeti-do-han-dui-e-za-slobodni-izbori/|Ахмети до Хан: ДУИ е за слободни избори|Ahmeti to the Left: the DUI is for free elections|Лидерот на ДУИ, Али Ахмети телефонски зборувал со Јоханес Хан. Како што пренесуваат од партијата тема на разговорот биле изборите.„Во еден пријателски телефонски разговор, го уверив Комесарот Јоханес Хан дека ДУИ останува целосно посветена во спроведувањето на Договорот во Скопје и на крајните подготовки за спроведување слободни, демократски и веродостојни избори. Исто така, му се заблагодарив на г-дин Хан за неговата голема посветеност за решавањето на кризата и јa повторив нашата определба да не дозволиме било каков центар да не отстапи од патот на демократијата и јакнењето на структурните реформи. Комесарот Хан изрази подготвеност да помогне во овој процес кон целосна имплементација на Рамковниот Договор“, стои во соопштението од ДУИ во кое се пренесува дел од пораките на Ахмети до Хан. Дали е зборувано за датумот за избори не се открива.|The leader of DUI, Ali Ahmeti phone and spoke with Johannes Hahn. As we passed from the party the topic of conversation were the elections."In a friendly phone conversation, assured the Commissioner Johannes Hahn that the DUI remains fully committed in the implementation of the Agreement in Skopje and the final preparations for conducting free, democratic and credible elections. Also, he thanked her, mr. Han for his great commitment for resolution of the crisis and the reproduced our determination not to allow any center to not step down from the path of democracy and the strengthening of structural reforms. Commissioner Hahn expressed a willingness to assist in this process towards the full implementation of the ohrid Framework Agreement“, stands in a statement from the DUI in which the transmitted part of the messages of Ahmeti to the Han. If it is not talked in class for the date for the elections is not revealed.|Комесарот Хан изрази подготвеност да помогне во овој процес кон целосна имплементација на Рамковниот Договор“, стои во соопштението од ДУИ во кое се пренесува дел од пораките на Ахмети до Хан.|Commissioner Hahn expressed a willingness to assist in this process towards the full implementation of the ohrid Framework Agreement“, stands in a statement from the DUI in which the transmitted part of the messages of Ahmeti to the Han.|Fokus|6 апр 2016, 11:54
http://fokus.mk/naumov-nema-predvideno-povisoki-plati-za-mvr-vo-2016-ta/|Наумов: Нема предвидено повисоки плати за МВР во 2016-та|Naumov: No provided higher salaries for the ministry of the INTERIOR in the 2016-th|Дополнителниот заменик министер за финансии Кире Наумов реагираше на обидот на Митко Чавков од МВР да им вети покачување на платите на вработените во МВР. Наумов наведува:-Дополнителниот заменик министер за внатрешни работи Митко Чавков повикувајќи се на договор помеѓу Министерството за внатрешни работи и Македонскиот полициски синдикат од март месец 2015 година, се обиде да ги изманипулира вработените во МВР и јавноста за наводна одлука на Владата на РМ од 29.03.2016 година за зголемување на платите во Министерството за внатрешни работи.Во Буџетот на РМ за 2016 година не се предвидени средства за реализирање на гореспоменатиот договор. Митко Чавков во 2015 година како актуелен Министер за внатрешни работи не успеал да обезбеди средства за зголемување на ставката исплата на плати и надоместоци, ниту Владата предводена од Груевски во предлог буџетот за 2016 година побарала од Собранието на РМ да се обезбедат средства за исплата на зголемени плати на вработените во Министерството за внатрешни работи. Потврда за ова еИнформацијата за недостиг на средства согласно објавениот буџет за 2016 година во однос на реално потребните средства за нормално функционирање на МВР за 2016 година. Дописот од МВР под бр.13.1.2-11974/1 е доставен до Владата на РМ на 24.02.2016 година. Информацијата од МВР била разгледана на седница на Комисијата за економски систем и тековна економска политика на Владата на РМ одржана на 01.04.2016 година. Во врска со информацијата на МВР од 24.02.2016 година, Министерството за финансии доставило мислење до Комисијата за економски систем и тековна економска политика на Владата на РМ во кое Министерот Ставрески потврдува дека во буџетот не се предвидени средства за покачување на платите за вработените во МВР.Митко Чавков во 2015 година во својство на Министер за внатрешни работи ги изманипулирал вработените во Министерството за внатрешни работи со тоа што не ги испочитувал одредбите од постигнатиот договор со Македонскиот полициски синдикат и не обезбедил средства во буџетот за 2016 година за реализирање на истиот.Вчерашното соопштение на дополнителниот заменик министер Митко Чавков претставува јалов обид да ја дефокусира јавноста и да ја тргне одговорноста од себе за непочитување на договорите што самиот ги потпишал.|The additional deputy finance minister Kire Naumov reacted to the attempt of Mitko Чавков from the ministry of the INTERIOR to give the promised raise of salaries of the employees in the ministry of INTERIOR. Naumov noted:-the Additional deputy minister of interior, Mitko Чавков recalling the agreement between the Ministry of interior and the Macedonian police union from march month 2015 year, try to изманипулира employees in the ministry of INTERIOR and the public about the alleged decision of the Government of the REPUBLIC of 29.03.2016 year for an increase of wages in the Ministry of internal affairs.In the Budget of the republic of MACEDONIA for the 2016 year are not provided the funds for the implementation of this agreement. Mitko Чавков in 2015 as the current Minister of internal affairs failed to provide a means for the increase of the item, the payment of salaries and allowances, neither the Government led by Gruevski in the draft budget for 2016 she asked from the Parliament of the republic of MACEDONIA to provide funds for the payment of the increased salaries of the employees in the Ministry of internal affairs. Confirmation of this еИнформацијата for lack of funds according to the published budget for the 2016 year in terms of the real funds for the normal functioning of the ministry of INTERIOR for 2016. A letter from the ministry of INTERIOR under no.13.1.2-11974/1 is submitted to the Government of the REPUBLIC of 24.02.2016 year. The information from the ministry of INTERIOR was considered at the session of the Commission for economic system and current economic policy of the Government of the republic of MACEDONIA held on 01.04.2016 year. In connection with the information of the ministry of INTERIOR of the 24.02.2016 year, the Ministry of finance responded to the opinion to the Commission for economic system and current economic policy of the Government of the republic of MACEDONIA in which the Minister Stavreski confirmed that in the budget not provided the funds to increase the wages of employees in the ministry of INTERIOR.Mitko Чавков in 2015 in the capacity of Minister of internal affairs, the изманипулирал employees in the Ministry of internal affairs that you do not испочитувал the provisions of her agreement with the Macedonian police trade union and do not provide funds in the budget for 2016 for implementation of the same.Вчерашното announcement of the additional deputy foreign minister Mitko Чавков is јалов an attempt to дефокусира the public and goes the responsibility from themselves for the failure to comply with the agreements that he himself signed the compensated emancipation.|Во Буџетот на РМ за 2016 година не се предвидени средства за реализирање на гореспоменатиот договор. Митко Чавков во 2015 година како актуелен Министер за внатрешни работи не успеал да обезбеди средства за зголемување на ставката исплата на плати и надоместоци, ниту Владата предводена од Груевски во предлог буџетот за 2016 година побарала од Собранието на РМ да се обезбедат средства за исплата на зголемени плати на вработените во Министерството за внатрешни работи.|In the Budget of the republic of MACEDONIA for the 2016 year are not provided the funds for the implementation of this agreement. Mitko Чавков in 2015 as the current Minister of internal affairs failed to provide a means for the increase of the item, the payment of salaries and allowances, neither the Government led by Gruevski in the draft budget for 2016 she asked from the Parliament of the republic of MACEDONIA to provide funds for the payment of the increased salaries of the employees in the Ministry of internal affairs.|Fokus|6 апр 2016, 11:24
http://fokus.mk/sednitsa-na-dik-dali-ima-uslovi-za-izbori-na-5-ti-juni/|Седница на ДИК: Дали има услови за избори на 5-ти јуни?|Meeting of the SEC: Whether there are conditions for the elections of the 5th of June?|Членовите на ДИК ќе го разгледаат Извештајот за прогресот од вкрстените, теренските и административните проверки заради ажурирање на Избирачкиот список врз основа на Правилникот за методологија за водење и ажурирање на Избирачкиот список, заклучно со 5 април 2016 година.Од исходот на седницата се очекува да зависи и каков ќе биде ставот на опозицијата за распуштањето на Собранието кое треба да се случи вечерва на полноќ и одење на избори на 5 јуни. По однос на другиот услов – медиумски реформи, се уште нема никакво поместување, односно воопшто и не се преговара.Неизвесно е и каков став ќе имаат членовите на ДИК во однос на изборите. Ако се изјаснат дека нема услови тогаш ќе мора изборниот датум да се откаже, односно да се искористи Собранието да ја повлече одлуката за избори на 5-ти јуни, пред да биде распуштено. Ако потврдат дека има услови тогаш 5-ти јуни станува извесен датум. Но дали опозицијата во вакви услови кога не се остварени сите точки од договорот во Пржино ќе излезе на избори?Ако Собранието ноќеска се распушти ќе останат неразгледани предлозите на Специјалната обвинителка Катица Јанева за некои законски измени, како на пример Законот за заштитени сведоци. Нема да може ниту да се интервенира во законодавството од медиумската сфера, како еден од клучните услови за фер избори.|The members of the SEC will consider the Report about the progress of the crossed, field and administrative checks due to the update of the Voter list on the basis of the Rulebook on the methodology for maintaining and updating the Voter list, as of 5 April 2016.The outcome of the meeting are expected to depend and what will be the attitude of the opposition for the dismissal of the Parliament, which should happen tonight at midnight and going to the elections on 5 June. With regard to the other condition – such as media reform, still there is no shift, i.e. general and not negotiable.Is uncertain and attitude will have the members of the SEC in respect of the elections. If you declare that there are no conditions then you have the election date to cancel, or to use the Assembly to withdraw the decision on the elections of the 5th of June, before to be распуштено. If you confirm that there are conditions then the 5th of June it becomes a date. But whether the opposition in such conditions when not accomplished all points of the agreement in the Пржино you come out of the elections?If the Assembly ноќеска dissolve will remain неразгледани the proposals of the Special обвинителка Katica Janeva for some legal changes, such as the Law on protected witnesses. You may not be able neither to intervene in the legislation in the media sphere, as one of the key conditions for fair elections.|Ако Собранието ноќеска се распушти ќе останат неразгледани предлозите на Специјалната обвинителка Катица Јанева за некои законски измени, како на пример Законот за заштитени сведоци|If the Assembly ноќеска dissolve will remain неразгледани the proposals of the Special обвинителка Katica Janeva for some legal changes, such as the Law on protected witnesses|Fokus|6 апр 2016, 10:20
http://fokus.mk/most-pod-pritisok-na-vlasta/|МОСТ под притисок на власта?|BRIDGE under the pressure of the power?|Организацијата МОСТ најави прес конференција во 11.30 по информациите дека финансиската полиција упаднала во асоцијацијата, која е сериозен и критички набљудувач на изборите, за да го провери финансиското работење. Што точно се случува најверојатно ќе биде соопштено на пресот.Поранешниот белгиски посредник Питер Ванхауте синоќа на Твитер напиша: „Награда за Владата која испрати финансиска инспекција да ја замолчи невладината организација која е критична кон подготовките за изборите“.Дали написот на Ванхауте е поврзан со невладината организација МОСТ? Дали ова е класичен обид да се замолчат набљудувачите? Најверојатно многу повеќе ќе открие Дарко Алексов на прес конференцијата. |The organization BRIDGE announced a press conference at 11.30 after the information that the financial police упаднала in the association, which is a serious and critical observer of the elections, to check the financial operations. What exactly happens will probably be reported on the пресот.The former belgian mediator Peter Ванхауте last night on Twitter wrote: "the Reward for the Government, which sent a financial inspection to silence non-governmental organisation which is critical to the preparations for the elections".Whether the article of Ванхауте is connected with the non-governmental organization BRIDGE? Whether this is a classic attempt to silence the monitors? Probably a lot more you will discover Darko Алексов of the press conference. |Поранешниот белгиски посредник Питер Ванхауте синоќа на Твитер напиша: „Награда за Владата која испрати финансиска инспекција да ја замолчи невладината организација која е критична кон подготовките за изборите“.|The former belgian mediator Peter Ванхауте last night on Twitter wrote: "the Reward for the Government, which sent a financial inspection to silence non-governmental organisation which is critical to the preparations for the elections".|Fokus|6 апр 2016, 09:47
http://fokus.mk/jankulovska-i-drugite-od-tvrdina-na-raspit-pred-sudija-na-prethodna-postapka/|Јанкуловска и другите од „Тврдина“ на распит пред судија на претходна постапка|Jankuloska and others from the "Fortress" of the interrogation before the judge of the previous procedure|Во моментов пред судија на претходна постапка исказ даваат осомничените во досието „Тврдина“. Распитот е започнат, но според информации на Фокус сите осомничени се појавиле и чекаат во ходникот. За утринава беше закажан распит околу времените мерки кои ги предлага Специјалното јавно обвинителство (СЈО) во однос на еден началник во УБК, на ексминистерката Јанкуловска, и на уште двајца врботени во МВР.Предлозите се однесуваат на одземање на патната исправа за Јанкуловска, до отстранување од работните места за оние кои се уште извршуваат одговорни задачи во МВР. Како ќе одлучи судијата ќе се знае во текот на денот откако сите четворица ќе се изјаснат за предлог мерките за претпазливост. Претходно, на првоосомничениот Горан Грујевски судијата му одреди притвор, но Кривичниот совет на судот одлучи дека доволна е мерката куќен притвор.Пред неколку седмици Јанкуловска беше пред судија на претходна постапка кога СЈО бараше притвор за неа, за Јанакиевски, Божиновски, Темелко и други осомничени во досието „Титаник“ за изборни нерегуларности. Но мерката не и беше определена.|In the moment before the judge of the previous procedure statement giving the suspects in the file "Fortress". Questioning is a start, but according to the information of Focus all the suspects came forward and wait in the hallway. For this morning was scheduled a hearing around the time measures that propose the Special public prosecutor's office (СЈО) in respect of a superintendent in the DEPARTMENT, the ексминистерката Jankuloska, and the two врботени in the ministry of INTERIOR.The proposals relating to seizure of a travel document for Jankuloska, to the removal of the jobs for those who still carry out responsible tasks in the ministry of INTERIOR. As you decide the judge will know in the course of the day after all four of them will declare for the draft measures for security. Previously, the првоосомничениот Goran Грујевски the judge shall determine custody, but the Criminal council of the court decided that sufficient is the measure of house detention.A few weeks Jankuloska was before the judge of the previous procedure when СЈО sought detention for her, for Јанакиевски, Bozinovski, Темелко and other suspects in the file "Titanic" for election irregularities. But the measure was determined.|Предлозите се однесуваат на одземање на патната исправа за Јанкуловска, до отстранување од работните места за оние кои се уште извршуваат одговорни задачи во МВР. Како ќе одлучи судијата ќе се знае во текот на денот откако сите четворица ќе се изјаснат за предлог мерките за претпазливост.|The proposals relating to seizure of a travel document for Jankuloska, to the removal of the jobs for those who still carry out responsible tasks in the ministry of INTERIOR. As you decide the judge will know in the course of the day after all four of them will declare for the draft measures for security.|Fokus|6 апр 2016, 09:39
http://fokus.mk/tsivil-ne-se-mozhni-slobodni-izbori/|ЦИВИЛ: Не се можни слободни избори|CIVIL: Not possible free elections|ЦИВИЛ денеска во 12 часот организира средба со граѓани и ќе одржи прес конференција пред Собранието на РМ. во нивниот повик се наведува дека на средбата, ЦИВИЛ ќе го сподели со јавноста ставот дека слободни избори не се можни на 5 јуни и дека владата треба да поднесе оставка поради неуспехот да го спроведе Договорот за надминување на политичката криза, потпишан во Пржино (2 јуни/15 јули 2015.), а со тоа оневозможи и создавање услови за одржување слободни избори во Република Македонија.„Со фантоми – НЕ! Со уцени – НЕ! Со насилство – НЕ! Со наши пари – НЕ! Со корупција – НЕ! Со лаги – НЕ!“, велат од ЦИВИЛ.|CIVIL today in the 12 o'clock arrange a meeting with citizens and will hold a press conference before the Assembly of the republic of MACEDONIA. in their call by stating that at the meeting, CIVIL will share with the public the position that free elections are not possible on the 5 June and that the government should resign because of the failure to implement the Agreement for overcoming the political crisis, signed in Пржино (2 June/15 July 2015.), and with it disable and create conditions for the holding of free elections in the Republic of Macedonia."With the phantoms – NOT! With the blackmail – NOT! With violence – NOT! With our money – NOT! With corruption – NOT! With lies – NOT!“, say from the CIVIL.|„Со фантоми – НЕ! Со уцени – НЕ! Со насилство – НЕ! Со наши пари – НЕ! Со корупција – НЕ! Со лаги – НЕ!“|"With the phantoms – NOT! With the blackmail – NOT! With violence – NOT! With our money – NOT! With corruption – NOT! With lies – NOT!“|Fokus|6 апр 2016, 09:29
http://fokus.mk/novo-zadolzhuvan-e-od-10-milioni-evra/|Ново задолжување од 10 милиони евра|New borrowing of 10 million euros|Државата денеска зема нови 10 милиони евра од банките и други домашни клиенти, пренесува Телма. На четирите закажани аукции на државни записи и обврзници, се бараа околу 12 милиони евра но  беа продадени хартии од вредност на три од нив.Според надлежното Министерство, клиентите и банките биле заинтересирани само за едногодишните записи и за 10 годишните обврзници. За 12 месечните записи, банките понудиле 8,8 милиони евра а останати клиенти за двете аукции на 10 годишни обврзници, понудиле вкупно 1,25 милиони евра.Вчера државата врати 4,8 милиони евра стари долгови, а утре треба да се вратат уште 7,15 милиони евра.|The country today takes a new 10 million euro from the banks and other domestic clients, transmit Telma. Of the four scheduled auctions of treasury bills and bonds, are asking for about 12 million but were sold securities in three of them.According to the competent line Ministry, clients and the banks were only interested in едногодишните bills and for the 10 annual bonds. For 12 monthly bills, the banks offered 8.8 million euros and other customers for the two auctions of 10-year bonds, offered a total of 1,25 million euros.Yesterday the state back 4,8 million euros old debts, and tomorrow I need to return yet 7,15 million.|Вчера државата врати 4,8 милиони евра стари долгови, а утре треба да се вратат уште 7,15 милиони евра.|Yesterday the state back 4,8 million euros old debts, and tomorrow I need to return yet 7,15 million.|Fokus|5 апр 2016, 20:31
http://fokus.mk/opozitsijata-e-podgotvena-za-izbori-na-koi-k-e-ima-promeni/|Опозицијата е подготвена за избори на кои ќе има промени|The opposition is ready for elections, that there will be change|СДСМ и коалициските партнери едногласно заклучија дека се подготвени за избори во секој момент на кои што постои цврста убеденост дека промени ќе се случат, но дека обврска на сите институции и политички субјекти е во Република Македонија да се спроведат фер и регуларни избори, се вели во соопштението по средбата на претседателот на СДСМ, Зоран Заев, придружуван од генералниот секретар на СДСМ и министер за внатрешни работи, Оливер Спасовски со партнерите од здружената опозиција.-Без прочистен Избирачки список не може да бидат организирани и спроведени фер и регуларни избори. Оттука СДСМ и коалициските партнери очекуваат реална оценка од Државната изборна комисија која што ја има одговорноста за доверлив Избирачки список, се вели во соопштението од СДСМ.СДСМ и коалициските партери потсетуваат дека неколку изборни циклуси по ред во Република Македонија се спроведуваат нерегуларни избори, на кои што не се почитува изборната волја на граѓаните на Република Македонија, што нанесува непоправливи штети како на граѓаните така и на интеграциите на државата на меѓународен план.|SDSM and ruling coalition, he partners unanimously concluded that they are ready for elections at any moment of which there is a solid убеденост that changes will happen, but that the obligation of all institutions and political subjects in the Republic of Macedonia to conduct a fair and regular elections, said in a statement after the meeting of president of SDSM, Zoran Zaev, accompanied by the secretary general of SDSM, and the minister of the interior, Oliver Spasovski with partners from здружената opposition.-Without purified Voter register may not be organized and conducted fair and regular elections. Therefore, the SDSM and ruling coalition, he partners expect a realistic assessment from the State election commission which has the responsibility for the confidential Voter list, said in a statement from the SDSM.SDSM and ruling coalition, he партери remind you that a few election cycles in a row in the Republic of Macedonia are conducted irregular elections, which do not respect the electoral will of the citizens of the Republic of Macedonia, which applied непоправливи damages as of the citizens and of the integration of the state at the international level.|„Без прочистен Избирачки список не може да бидат организирани и спроведени фер и регуларни избори. Оттука СДСМ и коалициските партнери очекуваат реална оценка од Државната изборна комисија.“|"Without purified Voter register may not be organized and conducted fair and regular elections. Therefore, the SDSM and ruling coalition, he partners expect a realistic assessment from the State election commission.“|Fokus|5 апр 2016, 19:28
http://fokus.mk/tortevski-se-shto-dosega-sum-kazhal-za-sjo-e-rezultat-na-moite-lichni-ubeduvan-a/|Тортевски:  Се што досега сум кажал за СЈО е резултат на моите лични убедувања|Тортевски: everything so far I'm told for СЈО is the result of my personal beliefs|Адовокатот Александар Тортевски денеска ги демантира пишувањата на повеќе провладини медиуми кои деновиве објавуваа дека за неговите јавни настапи тој бил плаќан од Специјалното јавно обвинителство.-Категорички изјавувам дека од СЈO немам добиено ниту еден денар, ниту сум бил во нивните простории, ниту знам каде се наоѓаат. Се што досега сум кажал за СЈО е резултат на моите лични убедувања и на мојата совест. Инаку, навистина ми е жал што не сум дел од тимот на СЈО и доколку тие проценат дека можам да им бидам од било каква полза, тогаш сигурно ќе прифатам, вели Тортевски во демантот.Тој додава дека доколку се утврди дека земал хонорар од Специјалното јавно обвинителство, тогаш тој износ стократно зголемен ќе го даде како помош на угнетувани новинари.-Во однос на наводно досега добиените хонорари од СЈО доколку се утврди дека сум добил такви средства, јавно изјавувам дека износот кој ќе се открие стократно зголемен ќе го исплатам за помош на угнетувани новинари кои мора да пишуваат во списанија кои никој не ги купува. Со оглед дека Канал 5 ја пренесе оваа вест дури можам износот да го уплатам на сметката на нивните сопственици во Панама, вели адвокатот Тортевски.|Адовокатот Alexander Тортевски today did not deny the reports sound more провладини media will објавуваа that for his public appearances he was плаќан from the Special public prosecutors.-Explicitly I declare that from СЈО I have received neither a penny nor I had been in their rooms, nor do I know where are located. Everything so far I'm told for СЈО is the result of my personal convictions and my conscience. Otherwise, I really sorry that I'm not part of the team of СЈО and if they assess that I can't be of any benefit, then you certainly will accept them, said Тортевски in демантот.He added that if found that taking a fee from the Special public prosecutor's office, then he the amount a hundredfold increased'll give as the help of угнетувани journalists.-In respect of the alleged hitherto received allowances from the СЈО if it is established that I have received such funds, publicly I hereby declare that the amount which will reveal a hundredfold increased will исплатам for the help of угнетувани journalists who have to write in journals that no one buys. Given that the Channel 5 convey this news even I can amount to уплатам on the account of their owners in Panama, says the lawyer Тортевски.|Инаку, навистина ми е жал што не сум дел од тимот на СЈО и доколку тие проценат дека можам да им бидам од било каква полза, тогаш сигурно ќе прифатам, вели Тортевски во демантот.|Otherwise, I really sorry that I'm not part of the team of СЈО and if they assess that I can't be of any benefit, then you certainly will accept them, said Тортевски in демантот.|Fokus|5 апр 2016, 19:19
http://fokus.mk/ahmeti-dui-nema-da-padne-na-montirani-materijali/|Ахмети: ДУИ нема да падне на монтирани материјали|Ahmeti: DUI is not going to fall out of the mounted materials|ДУИ и Албанците нема да дозволат да бидат жртва на било какви монтирани материјали, истакнал претседателот на ДУИ, Али Ахмети, на средбата со Директорот на Директоратот за проширување во Европската комисија, Кристијан Даниелсон.Ахмети истакнал дека со протечените снимки за високи функционери од ДУИ кои се однесуваат на приватниот живот на политичарите, целта била во соработка со криминални групи, кои се обидуваат да поттикнат ирационални постапки на ДУИ, да го оштетат процесот на спроведување на Договорот од Пржино.Ахмети и  Даниелсон разговарале и за актуелната ситуација во земјата, безбедносната ситуација, спроведувањето на Договорот од Пржино, за интеграцијата во Европската Унија, реформите и меѓуетничките односи.|DUI and the Albanians will not allow to be a victim of any mounted materials, has pointed out the president of DUI, Ali Ahmeti, at the meeting with the Director of the Directorate for enlargement in the European commission, Christian Даниелсон.Ahmeti has pointed out that with the протечените shots for high-ranking officials from the DUI, which refer to private life of politicians, the goal was, in cooperation with the criminal groups, who are trying to incite irrational procedures of DUI, the damage process of the implementation of the Treaty of Пржино.Ahmeti and Даниелсон have talked and about the current situation in the country, the security situation, the implementation of the Treaty of Пржино, for integration into the European Union, reforms and inter-ethnic relations.|ДУИ и Албанците нема да дозволат да бидат жртва на било какви монтирани материјали, истакнал претседателот на ДУИ, Али Ахмети, на средбата со Директорот на Директоратот за проширување во Европската комисија, Кристијан Даниелсон.|DUI and the Albanians will not allow to be a victim of any mounted materials, has pointed out the president of DUI, Ali Ahmeti, at the meeting with the Director of the Directorate for enlargement in the European commission, Christian Даниелсон.|Fokus|5 апр 2016, 18:50
