url|originalTitle|translatedTitle|originalText|translatedText|originalShortText|translatedShortText|source|datePublished
http://republika.mk/?p=580888|Откриени 20 Авганистанци во возило кај Кавадарци|Discovered 20 Авганистанци in a vehicle in Kavadarci|На патниот правец Кавадарци ­- Мушов Гроб, вчера околу 7 часот, во патничко моторно возило „форд галакси“ со скопски регистарски ознаки, сопственост на Р.И. (22) од скопското село Батинци, полициски службеници откриле 20 илегални мигранти од Авганистан.МВР денеска соопшти дека возачот на возилото не бил пронајден. Кога ги забележал полициските службеници, возачот го запрел возилото и побегнал. Илегалните мигранти, се посочува во соопштението, биле донесени во полициската станица за граничен надзор Михајлово и со нив бил извршен разговор.Дел од мигрантите со потврда за предавања на лица се предадени во Прифатен центар за странски државјани­ Скопје, а останатите во Прифатен центар за баратели на азил­ Визбегово, Скопје. Се преземаат мерки за пронаоѓање на возачот.|The road winds from Kavadarci - Мушов Grave, yesterday around 7 pm, in the passenger motor vehicle "ford galaxy" with skopje license plates, property of the Republic.And. (22) from the village Батинци, police officers have found 20 illegal migrants from Afghanistan.The ministry of the INTERIOR today announced that the driver of the vehicle was not found. When they noticed the police officers, the driver запрел the vehicle and fled. Illegal migrants, stated in a press release, were brought into the police station for border surveillance Михајлово and with them was the executive chat.Part of the migrants with a confirmation of the lectures of the persons are handed over at the Reception centre for foreign citizens of Skopje, and the other in the Reception centre for asylum seekers in settlement Vizbegovo, Skopje. Measures are taken to find the driver.|||Republika|11.04.2016
http://republika.mk/?p=580881|Објавено првото издание на весникот за заштита на регионот на Охридско Езеро, поддржан од УНЕСКО|Published the first edition of the newspaper for the protection of the region of Ohrid Lake, supported by UNESCO|Како дел од активностите предвидени со Проектот за интегрална заштита на културното и природното богатство на охридскиот регион поддржан од УНЕСКО, објавено е првото издание од весникот за заштита на регионот на Охридско Езеро.Станува збор за тријазично издание, во кое се поместени фактографски податоци за регионот, преглед на сите настани и идни активности во контекст на промоцијата и на засилувањето на капацитетите на институциите во охридскиот регион, од обете страни на езерото, односно и од македонска и од албанска страна.УНЕСКО стои зад заштита на наследството на охридскиот регион од секој аспект, преку зајакнување на институционалните капацитети, но и развивање мерки за негова одржливот и промоција, како и интегралност преку подготовка за ставање на албанската страна на регионот под заштта на УНЕСКО.Наредното издание на весникот за заштита на регионот на Охридско Езеро ќе биде посветено на туризмот во Струга и Дебарца, како и на активностите во рамки на кампањата за одговорно управување со отпадот.|As part of the activities envisaged by the Project for the integrated protection of cultural and natural wealth of the region supported by UNESCO, published the first edition of the newspaper for the protection of the region of Ohrid Lake.It comes to тријазично edition, in which is moved literature data for the region, an overview of all the events and future activities in the context of the promotion and the strengthening of the capacities of the institutions in the ohrid region, on both sides of the lake, i.e. both Macedonian and Albanian side.UNESCO stands behind the protection of the heritage of the ohrid region from every aspect, through the strengthening of institutional capacities, and developing measures for its одржливот and promotion, as well as интегралност through the preparation for putting on the Albanian side of the region under the заштта of UNESCO.The next edition of the newspaper for the protection of the region of the Ohrid Lake will be a discussion of tourism in Struga and Debarca, as well as of the activities in the framework of the campaign for responsible waste management.|||Republika|11.04.2016
http://republika.mk/?p=580877|Прво судење за новогодишните сексуални напади во Германија|First trial for a new sexual attacks in Germany|Марокански државјанин денеска се соочи со судот во Дизелдорф во првиот процес за сексуалното насилство што се случи за Нова година во неколку германски градови. Најголем број од нападите врз жени, повеќе од 550, се случија во Келн.Досега за истите настани неколку Северноафриканци беа обвинети за кражба, а полицијата која досега пронајде повеќе од 70 учесници на настаните смета дека некои од напаѓачите никогаш нема да бидат пронајдени.Мароканецот на возраст од 33 години кој се соочува со затворска казна бил идентификуван како напаѓач откако една од жртвите го видела како дава изјава на телевизија.Според обвинението, Мароканецот идентификуван како Туфик М. бил дел од група од дваесетина луѓе кои ги опкружувале жртвите и сексуално ги злоставувале. Според повеќе од 1.000 поплаки од жени од неколку поголеми германски градови напаѓачите биле од Северна Африка, а медиумите пренесоа дека тие во Германија дошле илегално или имаат статус на баратели на азил. Сексуалните напади за Нова година значително влијаеја на политичката ситуација во Германија и на зголемување на рејтингот на крајно десничарската партија АФД која на регионалните избори во март освои двоцифрена поддршка во трите покраини каде што се одржаа избори.|Moroccan citizen today face a court in Dusseldorf in the first process for the sexual violence that occurred for the New year in several German cities. The largest number of attacks on women, more than 550, have taken place in Cologne.So far for the same events a few Северноафриканци were accused of theft, and the police which has so far found more than 70 participants of the events considered that some of the attackers will never be found.Мароканецот at the age of 33 years who is facing a prison sentence was identified as the gunman after one of the victims saw as makes a statement on television.According to the indictment, Мароканецот identified as Туфик M. was part of a group of twenty people who опкружувале victims and sexual the злоставувале. According to the more than 1,000 complaints from women from several major German cities the invaders were from the North of Africa, and the media covered that they in Germany have come illegally or have the status of asylum seekers. Sexual assaults for the New year significantly influenced the political situation in Germany and of increasing the ratings of the extremely right party АФД that of the regional elections in march won double-digit support in the three regions where took place elections.|||Republika|11.04.2016
http://republika.mk/?p=580841|САД ем жалат, ем не се извинуваат за атомските бомби во Хирошима и Нагасаки|The united states em complain, em not извинуваат for атомските bombs in Hiroshima and Нагасаки|Американскиот државен секретар, Џон Кери бил тажен, но немал намера да се извини во име на САД за фрлањето на атомските бомби на Хирошима и Нагасаки за време на Втората светска војна.Џон Кери, кој денес ќе го посети меморијалниот центар за мир во Хирошима, нема да се извини во името на Соединетите Американски Држави за атомската бомба фрлена на тој град во 1945 година, открил синоќа неименуван висок американски функционер од Стејт Департментот.„Ако ме прашувате дали државниот секретар ја посетува Хирошима за да се извини, одговорот е не“, одговорил неименуваниот функционер на прашањето на неколкуте новинари.Но, доколку ме прашате дали државниот секретар, исто како и сите Американци и Јапонци е тажен поради трагедијата која што ја доживеале огромен број луѓе, одговорот е да“, додал тој.Џон Кери пристигнал во Јапонија во саботата во рамките на средбата со седумте индустриски најразвиени земји (Г7) – средба посветена на тероризмот, нуклеарното вооружување и поморската безбедност.На шести август 1945 година, американскиот бомбардер „Енола гај“ ја фрли атомската бомба врз Хирошима која директно, како и од последица на зрачењето, уби 140 илјади Јапонци, а за тој чин САД никогаш не им се извини на Јапонците. Три дена по фрлањето на првата бомба, истата судбина го снајде и градот Нагасаки каде што беа убиени преку 70 илјади луѓе.Нападите на овие два јапонски града го забрзаа процесот на капитулацијата на Јапонија со што заврши Втората светска војна.|The american secretary of state, John Kerry was sad, but he had no intention to apologize on behalf of the united states for supplying the атомските bombs on Hiroshima and Нагасаки during the Second world war.John Kerry, who today will visit the memorial centre for peace in Hiroshima, not to apologize in the name of the United States of america for the atomic bomb thrown on that city in 1945, discovered last night an unnamed senior u.s. official from the State Department."If me wondering whether the state secretary visited Hiroshima to apologize, the answer is not," replied неименуваниот official of the the issue of several journalists.But, if you ask me whether the state secretary, as well as all Americans and Јапонци is sad because of the tragedy that we have experienced a huge number of people, the answer is yes,“ added he.John Kerry arrived in Japan on Saturday in the framework of the meeting with the seven industrial most developed countries (Г7) – a meeting dedicated to terrorism, the nuclear armament and maritime security.On the sixth of August 1945, the american bomber "Енола guy" throw the atomic bomb on Hiroshima, which directly, as well as from the effect of radiation, killed 140 thousand Јапонци, and for that act the united states never apologized to the Japanese. Three days after the ejecting of the first bomb, the same fate the befell and the city Нагасаки where you were killed over 70 thousand people.The bombing of these two japanese cities have accelerated the process of капитулацијата of Japan which ended the Second world war.|||Republika|11.04.2016
http://republika.mk/?p=580824|За една недела повеќе од 1.300 јавувања на „Ало докторе“|For one week, more than 1.300 occurrences of "Ringback are you going to use"|На телефонската линија 02/15 123 за медицински совет „Ало докторе“ изминатата недела имало 1.330 повици. Од 15 септември 2014 година кога почна да работи линијата, досега, имало 86.524 повици.Здравствен дом Скопје соопшти дека линијата е достапна секој ден 24 часа со цел да се овозможи непосредна медицинска консултација во моментот на појава на различни симптоми на нарушување на здравјето.Дваесет и пет доктори се достапни за медицински совет. Повиците се од граѓани од сите градови на Македонија.Јавувањата се за широк спектар на најразлична симптоматологија, најчесто за зголемен крвен притисок, главоболки, сезонски настинки, симптомна болка, зголемена телесна температура и совети поврзани со хронични болести и променливото време.На сите оние лица кои побарале медицински совет на телефонската линија „Ало докторе“ им е дадена здравствена помош со совет и соодветна симптоматска терапија.|The phone line 02/15 123 for medical advice "Ringback are you going to use" the past week, there was 1.330 calls. From 15 September 2014 when he started to work the line, so far, there have been 86.524 calls.Health home Skopje announced that the line is available every day 24 hours in order to allow the immediate medical consultation in the moment of occurrence of the different symptoms of disturbance of health.Twenty-five doctors are available for medical advice. The calls are from citizens from all cities of Macedonia.Incoming calls are for a wide range of најразлична симптоматологија, most often for increased blood pressure, headaches, seasonal настинки, симптомна pain, increased body temperature, and tips related to chronic diseases and променливото time.Of all those persons who asked for medical advice on the phone line "Alo are you going to use" given health help with advice and appropriate symptomatic therapy.|||Republika|11.04.2016
http://republika.mk/?p=580798|Тајни агенти влегуваат помеѓу мигрантите|Secret agents are among the migrants|Тим прикриени агенти распоредила Европската полициска агенција Европол во центрите за регистрација на мигранти низ Грција, со цел да се спречи инфилтрација на оперативци на Исламска држава и да се намалат активностите на други криминални мрежи, дознава „Катимерини“.Во интервју за неделното издание на весникот, Роберт Чрепинко, словенечкиот директор на новоформираниот Европски центар за криумчарење мигранти (ЕМСЦ) кој е во рамките на Европол, изјави дека 10 прикриени полицајци на тајна задача во моментов се стационирани на егејските острови Лезбос, Самос, Хиос и Лерос, како и на пристаништето во Пиреја, со задача да ги проверат сомнителните имигранти и да ги споредат со базите на податоци на Европол, во Холандија.– Заедно со грчките власти правиме секундарни безбедносни проверки за да се проценат можните опасни мигранти пред тие да влезат во ЕУ, изјави Чрепинко додавајќи дека „покрај филтрирањето осомничени екстремисти, операцијата има за цел да ги поддржи грчките власти и во други области поврзани со организиран криминал и шверц на мигранти“.Операцијата била договорена на итниот самит на министрите за внатрешни работи на ЕУ по терористичките напади во Париз во ноември.|Team undercover agents распоредила the European police agency Europol in the centres for registration of migrants through Greece, in order to prevent the infiltration of оперативци of an Islamic state and to reduce the activities of other criminal networks, learns "Катимерини".In an interview for the weekly edition of the newspaper, Robert Чрепинко, the slovenian director of the newly established European centre for the smuggling of migrants (ЕМСЦ) which is in the framework of Europol, said that the 10 undercover cops on a secret task currently stationed on егејските islands Лезбос, Самос, Хиос and Лерос, as well as the port in the Пиреја, with the task to verify the suspicious immigrants and to compare with the databases of Europol, in the Netherlands.– Together with the Greek authorities doing secondary security checks to assess the possible dangerous of migrants before they enter the EU, said Чрепинко adding that "in addition to filtering out suspected extremists, the operation aims to support the Greek authorities and in other areas related to organized crime and smuggling of migrants".The operation was agreed at the emergency summit of the ministers of internal affairs of the EU after the terrorist attacks in Paris in November.|||Republika|11.04.2016
http://republika.mk/?p=580762|Морфов ја враќа изгубената смисла за живот со „Животот е прекрасен“|Морфов restores the lost sense of life with "Life is wonderful"|Светски познатиот театарски маг Александар Морфов (55) со претставата „Животот е прекрасен“, чија гала-премиера беше одржана синоќа на големата сцена на Македонскиот народен театар (МНТ) ја враќа изгубената смисла за живот. Вистнско уживање е да се гледаат неговите претстави. Како да не се од овој свет и од овој век. Иако претставата трае повеќе од три часа, актерите успеваат да ја држат тензијата. Динамична, атрактивна со текст кој не те остава рамнодушен, „Животот е прекрасен“ е претстава која долго ќе трае на репертоарот на МНТ. Со голема, масивна, впечатлива сценографија, како на филм, а во исто време и функционална, те носи во некое друго време, а сепак, блиско. Сценограф е Бугаринот Никола Тороманов.Со овации и со долг аплауз беше поздравената големата актерска екипа која учестува во претставата. Најгласни и најзаслужени, секако, беа аплаузите за Никола Ристановски, Николина Кујача и Ѕвезда Ангеловска, кои ги толкувааат главните ликови.Во другите улоги настапуваат: Сашко Коцев, Тања Кочовска- авловска, која гостува од Театарот за деца и младинци, Емил Рубен, Гораст Цветковски, Славиша Кајевски, Никола Ацески, Александар Ѓорѓиоски, Арна Шијак, Тина Трпкоска, Александар Микиќ, Никола Стефанов, Кире Ѓоревски, Александар Михајловски, Марија Новак, Драгана Левенска, Никола Кимовски, Марија Минитрова, Анастазија Христовска, Соња Крстевска.Нема утка кога Марија Папучевска ги прави костимите, а кореограф е Инга Красовска од Латвија.Пред премиерата директорот на МНТ, Дејан Пројковски, изјави дека секој човек и секој театар треба да сонува за да стигне до одредена цел. За него „Животот е прекрасен“ е остварување на еден голем сон на МНТ да создадат претстава со Морфов и со ансамблот на МНТ. |The world famous theatre mag Alexander Морфов (55) with the play "Life is wonderful", whose gala-premiere was held last night at the grand scene of Macedonian national theater (UP) restores the lost sense of life. Вистнско enjoyment is to see his performances. As to not be of this world and of this century. Although the performance lasts for more than three hours, the actors manage to keep the tension. A dynamic, attractive, with a text that does not you leave indifferent, "Life is wonderful" is a show which will long last of the repertoire of the updates on twitter. With a large, massive, impressive and he worked, as the film, and at the same time and functional, takes you in some other time, and yet, intimate. Set designer is Бугаринот Nikola Тороманов.With cheers and long applause was поздравената the great acting team which учестува in the performance. Најгласни and најзаслужени, of course, were аплаузите for Nikola Ристановски, Nikolina Кујача and Zvezda Angelovska, who толкувааат the main characters.In other roles act: Sasko Kocev, Tanja Кочовска - авловска, which the special guest of the Theatre for children and young people, Emil Ruben, Гораст Cvetkovski, Славиша Кајевски, Nikola Ацески, Alexander Ѓорѓиоски, Арна Шијак, Tina Трпкоска, Alexander Микиќ, Nikola Стефанов, Kire Ѓоревски, Aleksandar Mihajlovski, Marija Novak, Dragana Левенска, Nikola Кимовски, Mary Минитрова, Анастазија Христовска, Sonja Krstevska.No утка when Mary Папучевска makes the costumes, and the choreographer is Инга Красовска from Latvia.Before the premiere the director of updates on twitter, Dejan Пројковски, said that every man and every theatre needs to dream, to reach a certain goal. For him "Life is wonderful" is the realization of a big dream of UP to create a show with Морфов and with ансамблот of updates on twitter. |||Republika|11.04.2016
http://republika.mk/?p=580807|Слики од Вевчанската ликовна колонија изложени во Њујорк|Images from the Вевчанската art colony at new York|Слики од Меѓународната ликовната колонија „Вевчански видувања” се изложени во њујоршката MC Gallery…Повеќе од 50 уметнички творби на реномирани македонски, балкански и светски афирмирани уметници, учесници на Колонијата, се изложени во овој простор лоциран во центарот на сите уметнички и културолошки збиднувања во Њујорк.Изложбата ја отвори амбасадорот на Република Македонија во САД, Васко Наумовски, кој, меѓу другото, се осврна на важноста од натамошно афирмирање и поттикнување на македонската уметност, како начин за уште поголема афирмација на државата.Сликите од Колонијата ќе бидат изложени MC Gallery во Њујорк до 20 април. Изложби со слики од Колонијата изминатите години беа организирани во повеќе градови во Македонија, но и надвор од неа како во Подгорица и Софија.Меѓународната ликовна колонија „Вевчански видувања” веќе секое лето веќе седум години се одржува во ресторанот „Виа Игнација“ во Вевчани, со поддршка на компанијата ВИА ДОО од Вевчани.На крајот од секоја колонија, а во функција на натамошно афирмирање на уметноста, организаторите издаваат висококвалитетен каталог на македонски и на еден друг светски јазик (најчесто англиски или француски) на кој се поместени фотографии од делата на авторите со нивна биографија и контакти, како и соодветни критики за нив.|Images from the International art colony "Vevcani sightings" are exhibited in the new york MC Gallery...More than 50 art works of renowned Macedonian, balkan and world renown artists, participants of the Colony, are exhibited in this space located at the center of all artistic and cultural events in new York.The exhibition opened the ambassador of the Republic of Macedonia in the united states, Vasko Naumovski, who, among other things, reiterated the importance of further affirmation and encouragement of the Macedonian art as the way for even greater affirmation of the state.The images of the Colony will be at MC Gallery in new York until April 20. Exhibitions with pictures of the Colony in the past few years were organized in several cities in Macedonia, but also outside of it as in Podgorica and Sofia.The international art colony "Vevcani sightings" already every summer for seven years are held in the restaurant "Via Egnatia" in Vevchani, with the support of the company VIA LLC from the Vevchani.At the end of each colony, and in the function of a further affirmation of the art, the organizers publish a high quality catalogue of English and another world language (most often English or French) on which is moved the photos from the writings of authors with their biography and contacts, as well as appropriate criticism about them.|||Republika|11.04.2016
http://republika.mk/?p=580803|Црквата „Свети Јован“ на Канео на насловна страница на списанието „Нешнел џеографик“|The church "St. John," Kaneo on the home page of the journal "Нешнел џеографик"|На насловната страница на Специјализираното издание на „Нешнел џеографик“ наменето за американскиот пазар се најде најфотографираната црква на Охридското Езеро, посветена на свети Јован на Канео во Охрид…Охрид и Охридското Езеро, како најпознатото туристичко место во Македонија, се наоѓа меѓу познати дестинации во светот што секако треба да се посетат, односно како едно од „стоте места што ќе ви го сменат животот“ како што стои во насловот на изданието.„Охридското Езеро денеска е препознатливо по своите убави плажи и по можностите што ги нуди за активност на вода, но тоа е и место на чии брегови следбениците патувале со векови за да ги видат православните храмови и повеќе од 800 икони насликани во византиски стил“, стои во делот на магазинот посветен на Охрид.|On the front page of the Specialised edition of the "Нешнел џеографик" intended for the american market are found најфотографираната church of Lake Ohrid, dedicated to st. John of Kaneo in Ohrid...ohrid and Ohrid Lake, as најпознатото tourist resort in Macedonia, is located between the famous destinations in the world that should certainly be visited, i.e. as one of the "стоте places that will change your life" as it stands in the title of the issue."The Lake, today it is distinct for its beautiful beaches and after the opportunities offered for activity in the water, but it is and a place on whose shores the followers have traveled for centuries, to see the orthodox temples and more than 800 icons painted in the byzantine style", stands in a section of the magazine dedicated to Ohrid.|||Republika|11.04.2016
http://republika.mk/?p=580800|Отворен повик за Годишната награда „Ладислав Баришиќ”|An open call for the Annual prize "Ладислав Баришиќ"|Здружението на ликовни критичари АИКА Македонија распишува јавен повик за пријавување на истражувачки проекти од областа на ликовната критика, историјата на уметност и кураторските и интердисциплинарните практики во Македонија за Годишната награда „Ладислав Баришиќ”…Наградата има за цел да понуди можност за промислување на третманот и позициите на ликовната критика и на критичкото пишување, за појавите и тенденциите во современите визуелни уметности и теоријата на уметноста.Наградата го носи името на Ладислав Баришиќ (1941-1991), ликовен критичар и историчар на уметност, кој во рамките на ликовната публицистика беше активен во периодот од 1972 до 1986 година.Право на учество имаат историчари на уметноста, критичари, теоретичари, интердисциплинарни истражувачи и други профили на креативни автори поврзани со ликовните и визуелните уметности во Македонија (освен членовите на У.О. на АИКА Македонија).Кандидатите треба да се државјани на Република Македонија или пак странски државјани кои живеат и работат на територијата на Република Македонија повеќе од една година.Конкурсот е отворен во периодот од 11-ти април, до 10-ти мај 2016.Истражувачкиот проект со кој се конкурира може да биде: – во иницијална фаза од истражувачкиот процес (напомена: предложените истражувачки проекти може да се дел од магистерски, докторски и друг тип на индивидуални истражувања кои се во процес на идејна разработка. Притоа, услов за пријавување на истите е да не се објавени до денот на пријавувањето на конкурсот) – предлог за истражувачки проект со јасно образложена идеја, концепт и предвидени развојни фази на истражувањето.Кандидатите треба да достават:– опис на предложениот проект (1000 зборови)– методологија на неговата реализација (1000 зборови)– наративна биографија (250 зборови)– CV на кандидатот (или доколку станува збор за група истражувачи на сите поединечни членови на истражувањето).За изборот ќе одлучува трочлено стручно жири, при што на авторот на избраниот проект ќе му биде доделена и награда во висина од 30.000 денари во бруто износ. Наградениот проект треба да биде изработен и подготвен за јавна презентација во форма на предавање за годишниот симпозиум на АИКА Македонија планиран за ноември 2016 година.Конечната верзија на текстот треба да биде реализирана до март 2017 година.АИКА Македонија се обврзува да понуди лектура на македонски јазик и превод и лектура на текстот од истражувањето на англиски јазик (до максимум 10,000 зборови) и да го публикува на својот сајт. Доколку истражувањето има додатни визуелни и наративни сегменти истите ќе бидат адекватно претставени во контекст на завршниот текст.Добитникот на наградата ќе биде известен најдоцна до 1 јуни, 2016 година.Материјалите треба да се испратат на следната адреса: [email protected]/*  */!function(t,e,r,n,c,a,p){try{t=document.currentScript||function(){for(t=document.getElementsByTagName('script'),e=t.length;e--;)if(t[e].getAttribute('data-cfhash'))return t[e]}();if(t&&(c=t.previousSibling)){p=t.parentNode;if(a=c.getAttribute('data-cfemail')){for(e='',r='0x'+a.substr(0,2)|0,n=2;a.length-n;n+=2)e+='%'+('0'+('0x'+a.substr(n,2)^r).toString(16)).slice(-2);p.replaceChild(document.createTextNode(decodeURIComponent(e)),c)}p.removeChild(t)}}catch(u){}}()/*  */ со назнака за Годишната награда „Ладислав Баришиќ”.|The association of art critics АИКА Macedonia announced a public call for submission of research projects in the field of art criticism, the history of art and кураторските and interdisciplinary practices in Macedonia for the Annual award "Ладислав Баришиќ"...the Award aims to provide an opportunity for the retracing of the treatment and the positions of art criticism and critical writing, for the phenomena and tendencies in the contemporary visual arts and theory of art.The award bears the name of the Ладислав Баришиќ (1941-1991), art critic and historian of art, which in the framework of the fine публицистика was active in the period from 1972 to 1986.The right of participation have art historians, critics, theorists, interdisciplinary researchers and other profiles of creative artists associated with the artistic and visual arts in Macedonia (except the members of the U.Oh. the АИКА Macedonia).Applicants need to be nationals of the Republic of Macedonia or foreign citizens who live and work in the territory of the Republic of Macedonia for more than one year.The contest is open in the period from 11th April to 10th may 2016.The research project with the who's position can be: – in the initial stage of the research process (note: the proposed research projects can be part of the master's, doctoral and other type of individual surveys that are in the process of идејна elaboration. In addition, the requirement for the reporting of the same is not to be published until the date of registration of the competition) – a proposal for a research project with a clearly elaborated the idea, concept and provided development stages of the research.Applicants need to submit:– a description of the proposed project (1000 words)– the methodology of its implementation (1000 words)– narrative biography (250 words)– CV of the applicant (or if it comes to a group of researchers of all individual members of the survey).For the choice will decide трочлено expert jury, during which the author of the selected project will be awarded and prize in the amount of 30,000 in the gross amount. Наградениот project should be drafted and ready for public presentation in the form of a lecture for the annual symposium of the АИКА Macedonia planned for November 2016.The final version of the text should be completed by march 2017 year.АИКА Macedonia is obliged to offer among other the English language and translation, and among other of the text from a study of the English language (up to a maximum of 10,000 words) and to publish on its site. If the research has additional visual and narrative segments these will be adequately presented in the context of the final text.The winner of the award will be notified at the latest by June 1st, 2016.The materials should be sent to the following address: [email protected]/* */!function(t,e,r,n,c,a,p){try{t=document.currentScript||function(){for(t=document.getElementsByTagName('script'),e=t.length;e--;)if(t[e].getAttribute('data-cfhash'))return t[e]}();if(t&&(c=t.previousSibling)){p=t.parentNode;if(a=c.getAttribute('data-cfemail')){for(e=",r='0x'+a.substr(0,2)|0,n=2;a.length-n;n+=2)e+='%'+('0'+('0x'+a.substr(n,2)^r).toString(16)).slice(-2);p.replaceChild(document.createTextNode(decodeURIComponent(e)),c)}p.removeChild(t)}}catch(u){}}()/* */ with a designation for the Annual award "Ладислав Баришиќ".|||Republika|11.04.2016
