url|originalTitle|translatedTitle|originalText|translatedText|originalShortText|translatedShortText|source|datePublished
http://www.telma.com.mk/vesti/pochnuva-so-rabota-novata-bolnica-na-d-r-zhan-mitrev|Почнува со работа новата болница на д-р. Жан Митрев|It begins with the work of the new hospital dr. Jean Митрев|Првата кардиоваскуларна операција во новата болница „Филип Втори“, ќе биде направена денеска, од страна на д-р Жан Митрев и неговиот тим. Сите досегашни услуги кои се нудеа во изминативе 16 години пациентите ќе имаат можност да ги добијат и во новата болница.Ќе биде потпишан и договор помеѓу Хрватскиот авионски оператор „Аир – Панонија“, кој врши медицински транспорт на пациенти низ светот со 11 авиони, со што, специјалната болница „Филип Втори“ ќе им овозможи на пациентите во еден ден транспорт, дијагноза и оперативен зафат. Со ова, според Митрев,  болницата отвора и нова страница во развојот на македонскиот медицински туризам, но и во извозот на македонското медицинско знаење во земјите на Европската унија.|The first cardiovascular operation in the new hospital "Philip Ii" will be made today, by dr Jean Митрев and his team. All of these services that are offered in the past 16 years, patients will have the opportunity to get and in the new hospital.Will be signed and the agreement between the Croatian air carrier "Calamus – Панонија", which performs medical transport of patients around the world with 11 aircraft, with that, the special hospital "Filip Ii" will allow patients in a single day transport, diagnosis and operative surgery. With this, according to the Митрев, the hospital opens a new page in the development of the Macedonian medical tourism, but also in the export of the Macedonian medical knowledge in the countries of the European union.|||Telma|2016-04-11 13:10
http://www.telma.com.mk/vesti/mnr-incidentot-so-migrantite-kaj-idomeni-pottiknat-od-nvo-aktivisti|МНР: Инцидентот со мигрантите кај Идомени поттикнат од НВО активисти|MFA: the Incident with the migrants in Идомени prompted by NGO activists|Организираните масовни и координирани обиди за илегален премин на границата, што се случија вчера, според многу аспекти, вклучувајќи ја и вмешаноста на активисти на невладини организации, имаат карактеристики и наликуваат на сличниот инцидент за масовно илегално преминување на границата од 14 март годинава во кој беа инволвирани 2.500 мигранти.Ова се вели во соопштението на Министерството за надворешни работи во врска со вчерашниот инцидент на македонско-грчката граница кај Идомени во кој беа повредени 23 припадници на македонските безбедносни сили кои спречија над 3.000 мигратни насилно да влезат од Грција на македонска територија. - Различни извештаи говорат дека во обидот да ја поминат грчко-македонската граница со употреба на насилство мигрантите биле поттикнати, заведени и организирани од активисти на невладини организации. Било регистрирано и дистрибуирање на летоци кои содржеле лажни информации дека штом мигрантите успеат да ја поминат грчко-македонската граница со употреба на насилство тие ќе можат непречено да го продолжат својот пат до земјите членки на ЕУ, се посочува во соопштенеито.Според МНР, македонските безбедносни сили, заедно со полициски службеници од неколку земји членки на ЕУ кои се распоредени на јужната граница, согласно Програмата за соработка на ЕУ и Македонија за поддршка на менаџирањето на границата заради справување со мигрантската криза, одговорија брзо и согласно ситуацијата и спречија нелегален влез. Притоа наведуваат дека не е повреден ниту еден од мигрантите кои учествуваа во насилните протести.- Употребен е солзавец со цел да се растури насилната група. Не се употребени никакви други средства на контрола, ниту физичка сила против групата. Дваесет и тројца припадници на македонските сили се повредени за време на инцидентот. Воедно, ниту еден од извршителите не е повреден на македонска територија. Утврдени се неколку оштетувања на граничната ограда, се посочува во соопштението.Се посочува дека македонските власти побарале вклучување на грчките полициски сили во услови кога постојано се случуваат насилни напади од грчката територија.- Постојано се упатуваат барања за соработка и размена на информации со цел превентивно да се делува во однос на насилните протести на мигрантите и обидите за илегален премин од Грција на македонска територија. Воспоставувањето ред и мир во пограничната зона, како и во и околу центрите за прифаќање мигранти е од суштествено значење за превенирање вакви инциденти во иднина, се нагласува во соопштението од македонското МНР.Инаку, ситуацијата на граничниот камен 59, се посочува, е вратена во нормала во 18 часот и 30 минути и во моментов е мирно.Обидот за илегален влез се случи вчера околу 10:50 часот на граничната линија помеѓу Македонија и Грција кај граничниот камен 59. Во инцидентот се проценува дека учествувале над 3.000 мигранти организирани во помали и поголеми групи во обид насилно да влезат на територија на Македонија од Грција кај нелегалниот граничен премин кај каменот 59. Сличен инцидент за масовно илегално преминување на границата се случи на грчко-македонската граница на 14 март годинава кај селото Моин во кој беа инволвирани 2.500 мигранти.  |The organized massive and coordinated attempts for illegal crossing of the border, that took place yesterday, according to many aspects, including the involvement of activists of non-governmental organizations, have the features and looks like a similar incident of mass illegal crossing of the border by the 14 march this year in which were involved about 2500 migrants.This is stated in the press release of the Ministry of foreign affairs in connection with yesterday's incident on the Macedonian-Greek border in Идомени in who were injured 23 members of the Macedonian security forces which prevented over 3.000 мигратни forcibly to enter Greece on the Macedonian territory. - Various reports suggest that in the attempt to pass the Greek-Macedonian border with the use of violence, the migrants were solicited, recorded and organized by the activists of non-governmental organizations. Any registered, and the distribution of leaflets that содржеле false information that as soon as the migrants fail to pass the Greek-Macedonian border with the use of violence, they will be able to smoothly continue its path to the EU member states, the states in the соопштенеито.According to the MFA, the Macedonian security forces along with police officers from several member states of the EU that are deployed on the southern border, according to the Program of cooperation of the EU and Macedonia for the support of the management of the border for dealing with мигрантската crisis, responded quickly and according to the situation and prevented the illegal entry. It stated that it is not hurt none of the migrants who participated in the violent protests.- Used a lachrymatory in order to break up the насилната group. Not used any other means of control, nor physical force against the group. Twenty-three members of the Macedonian forces were injured during the incident. At the same time, none of the executors is not injured on the Macedonian territory. There are several damage to the border fence, stated in a statement.Indicates that the Macedonian authorities requested the involvement of Greek police forces in the conditions when the constantly occurring violent attacks of the Greek territory.- Constantly refer requests for cooperation and exchange of information in order preemptively to act in relation to the violent protests of the migrants and the attempted illegal crossing from Greece on the Macedonian territory. Establishing peace and order in the border zone, as well as in and around the centres for the acceptance of migrants is essential to prevent such incidents in the future, stresses in a statement from the Macedonian MFA.Otherwise, the situation on the border stone 59, states, is restored to normal in 18 hours and 30 minutes and it is currently quietly.The attempt of the illegal entry happened yesterday around 10:50 pm on the border line between Macedonia and Greece in the border stone 59. In the incident are estimated to have participated over 3.000 migrants organized in smaller and larger groups in an attempt forcibly to enter on the territory of Macedonia from Greece in the illegal border crossing in the stone 59. A similar incident of mass illegal crossing of the border happened on the Greek-Macedonian border, on 14 march this year in the village Моин in which were involved about 2500 migrants. |||Telma|2016-04-11 11:16
http://www.telma.com.mk/vesti/grchkiot-pretsedatel-so-zhestoka-kritika-za-makedonija-poradi-incidentite-na-idomeni|Грчкиот претседател со жестока критика за Македонија поради инцидентите на Идомени|The Greek president with fierce criticism for Macedonia because of the incidents of Идомени|Грчкиот претседател Прокопис Павлопулос остро ги осуди инцидентите на Идомени и оцени дека со насилниот однос кон бегалците Македонија покажала дека не заслужува да биде членка ниту на ЕУ ниту на НАТО. Павлопулос на денешната средба со португалскиот премиер Антонио Коста говореше за начините на кои ЕУ треба да се справи со бегалската криза и го искористи моментот повторно да упати критика и напад кон Македонија околу прашањето.„Соседните држави и тука конкретно мислам на Поранешната југословенска република Македонија кои имаат амбиции да влезат во ЕУ и НАТО кога се однесуваат кон бегалците како што се однесуваа вчера тука во Грција, со однос кој е незамислив, неприфатлив за хуманизмот, јасно е дека не им е местото ниту во ЕУ ниту секако во НАТО“, истакна Павлопулос.Грчкиот претседател потенцираше дека членките на ЕУ мора да се однесуваат хумано и солидарно кон бегалците бидејќи бегалската криза во моментов е најкритичниот и егзистенцијален проблем на Унијата. Упати критика и кон извесни ЕУ држави дека на проблемот наместо солидарно и хумано, реагирале со неоснована фобија кон проблемот, коментирајќи дека ако нема солидарност кон бегалците тогаш ЕУ ќе се врати многу чекори назад во сите полиња на кои има направено напредок. |The Greek president Прокопис Павлопулос sharply condemned the incidents of Идомени and evaluate that with the violent attitude towards refugees, Macedonia has shown that there deserves to be a member neither of the EU nor of NATO. Павлопулос of today's meeting with the Portuguese prime minister Antonio Costa spoke about the ways in which the EU should deal with the refugee crisis and used the moment to re-refer the criticism and attack towards Macedonia on the issue."Neighboring states and here in particular I think of the Former yugoslav republic of Macedonia who have ambitions to enter the EU and NATO when referring to the refugees as they are referred to yesterday here in Greece, with the respect which is незамислив, unacceptable to humanism, it is clear that there is place neither in the EU nor, certainly, in NATO," said Павлопулос.The Greek president emphasized that the EU members have to behave humanely and solidarity towards the refugees, because the refugee crisis is currently најкритичниот and егзистенцијален problem of the Union. Refer the reviews and to certain EU countries that the problem instead of solidarity and humane, reacted with the unfounded phobia to the problem, commenting that if there is not solidarity towards the refugees, the then EU will be back many steps back in all the fields of the who has made progress. |||Telma|2016-04-11 10:58
http://www.telma.com.mk/vesti/demokratski-sojuz-reshenijata-na-vladata-se-sprotivni-na-ustavot|Демoкратски сојуз: Решенијата на Владата се спротивни на Уставот|Democratic alliance: the Decisions of the Government are contrary to the Constitution|Повеќе од јасно е дека на 5 јуни нема да има избори, поради што Демократскиот сојуз ги повикува министрите и замениците министри, да ги повлечат оставките и да продолжат да работат со полн капацитет.Воедно Демократскиот сојуз предупредува на можните безбедносни проблеми доколку во МВР се наруши принципот на хиерархија и натаму се практикува паралелно дејствување од дополнителниот заменик министер. Поради ова, ДС бара, Владата да ги повлече поединечните кадровски решенија бидејќи тие ќе предизвикаат целосен хаос и парализа на највиталната институција. Овие решенија се спротивни на Уставот и законите поради што треба Уставниот суд со времена мерка да ги суспендира и сите решенија на Владата да ги поништи.Република Македонија е во криза и затоа повикуваме на политички дијалог и договор, реактивирање на Парламентот и деблокирање на другите институции, за да се спроведат реформи, кадровски промени и создадат услови за избори.|More than clear is that on June 5 there will be no elections, due to which the Democratic alliance calls upon the ministers and deputy ministers, to withdraw оставките and continue to operate with full capacity.At the same time, the Democratic union warns of possible security problems, if the ministry of the INTERIOR, disturb the principle of the hierarchy and continue to be practiced parallel action of the additional deputy minister. Because of this, DS requires, the Government to withdraw the individual staffing solutions because they will cause complete chaos and paralysis of the највиталната institution. These solutions are the opposite of the Constitution and the laws because you have the Constitutional court with the interim measure to suspend all the solutions of the Government to annul.The republic of Macedonia is in crisis and therefore we call for political dialogue and agreement, reactivate the Parliament and unblock of other institutions, to carry out reforms, personnel changes and create conditions for elections.|||Telma|2016-04-11 10:54
http://www.telma.com.mk/vesti/dvajca-visoki-pretstavnici-na-pjongjang-izblegale-vo-juzhna-koreja|Двајца високи претставници на Пјонгјанг изблегале во Јужна Кореја|Two high officials of the Пјонгјанг изблегале in South Korea|Владата на Јужна Кореја соопшти денеска дека двајца високи севернокорејски претставници, меѓу кои и полковникот на војната агенција за разузнавање на Сеул, пребегале во таа земја минатата година.Министерството за обединување и Министерството за одбрана на Јужна Кореја тврдат дека полковникот на севернокорејската војска дезертирал минатата година и оти му е одобрен политички азил. Министерството со обединување наведе дека висок претставник на Пјонгјанг, кој работел во една од африканска земја, побегнал во Јужна Кореја со своето семејство минатата година. Сеул во петокот објави дека група од 13 работници од ресторан во Северна Кореја во странство побегнале во Јужна Кореја. Тоа е најголемото групно дезертирање од кога севернокорејскиот лидер Ким Џонг Ун дојде на власт во 2011 година. Околу 29.000 Севернокорејци ја напуштија земјата и заминаа во Јужна Кореја од завршувањето на Корејската војна, покажуваат податоците на јужнокорејската Влада.|The government of South Korea announced today that two high севернокорејски officials, among which and colonel of the war agency for the intelligence of Seoul, пребегале in that country last year.The ministry of unification and the Ministry of defense of South Korea claim that the colonel of the Korean army дезертирал last year and that he is granted political asylum. Ministry with the unification state that the high representative of the Пјонгјанг, who worked in one of the african country, fled to South Korea with his family last year. Seoul announced Friday that a group of 13 workers from a restaurant in North Korea abroad had fled to South Korea. It is the largest group дезертирање from when севернокорејскиот leader Kim Џонг Un came to power in 2011. Around 29.000 north koreans left the country and went to South Korea since the end of the Korean war, show the data of the south Korean Government.|||Telma|2016-04-11 10:11
http://www.telma.com.mk/vesti/tajni-agenti-na-evropol-infiltrirani-megju-migrantite-vo-grcija|Тајни агенти на Европол инфилтрирани меѓу мигрантите во Грција|Secret agents of Europol undercover among migrants in Greece|Европската полициска агенција Европол распоредила тим прикриени агенти во центрите за регистрација на мигранти низ Грција, со цел да се спречи инфилтрација на оперативци на Исламска држава и да се намалат активностите на други криминални мрежи, дознава „Катимерини“.Во интервју за неделното издание на весникот, Роберт Чрепинко, словенечкиот директор на новоформираниот Европски центар за криумчарење мигранти (ЕМСЦ) кој е во рамките на Европол, изјави дека 10 прикриени полицајци на тајна задача во моментов се стационирани на егејските острови Лезбос, Самос, Хиос и Лерос, како и на пристаништето во Пиреја, со задача да ги проверат сомнителните имигранти и да ги споредат со базите на податоци на Европол, во Холандија.- Заедно со грчките власти правиме секундарни безбедносни проверки за да се проценат можните опасни мигранти пред тие да влезат во ЕУ, изјави Чрепинко додавајќи дека „покрај филтрирањето осомничени екстремисти, операцијата има за цел да ги поддржи грчките власти и во други области поврзани со организиран криминал и шверц на мигранти“.Операцијата била договорена на итниот самит на министрите за внатрешни работи на ЕУ по терористичките напади во Париз во ноември.|The european police agency Europol распоредила team of undercover agents in the centres for registration of migrants through Greece, in order to prevent the infiltration of оперативци of an Islamic state and to reduce the activities of other criminal networks, learns "Катимерини".In an interview for the weekly edition of the newspaper, Robert Чрепинко, the slovenian director of the newly established European centre for the smuggling of migrants (ЕМСЦ) which is in the framework of Europol, said that the 10 undercover cops on a secret task currently stationed on егејските islands Лезбос, Самос, Хиос and Лерос, as well as the port in the Пиреја, with the task to verify the suspicious immigrants and to compare with the databases of Europol, in the Netherlands.- Together with the Greek authorities doing secondary security checks to assess the possible dangerous of migrants before they enter the EU, said Чрепинко adding that "in addition to filtering out suspected extremists, the operation aims to support the Greek authorities and in other areas related to organized crime and smuggling of migrants".The operation was agreed at the emergency summit of the ministers of internal affairs of the EU after the terrorist attacks in Paris in November.|||Telma|2016-04-11 09:47
http://www.telma.com.mk/vesti/pochnuva-28-saem-na-knigata|Почнува 28. саем на книгата|Begins 28. fair of the book|Над 70 издавачки куќи ќе учествуваат на 28. Саем на книгата кој официјално ќе биде отворен вечер во 19 часот, во Метрополис арена.За посетителите саемот ќе биде отворен од утре до 18 април. Од Скопски саем очекуваат околу 40.000 посетители на Саемот на книга кој, по Саемот на мебел, е втора саемска манифестација по посетеност во Скопје. Ќе биде понудена литература од домашни и од странски автори, белетристика, научни изданија, книги за деца, учебници. Издавачите ќе организираат и промоции и средби со автори на своите штандови, но и во Промотивниот центар во Метрополис арена во кој за седумте саемски дена се планирани над 30 промоции. - Саемот на книга е една од најатрактивните саемски манифестации кој традиционално привлекува голем број публика. Околу 40 илјади посетители очекуваме во саемските денови од 12-ти до 18 април. Понудата е интересна и е за сечиј вкус и за сечиј џеб. Изложувачите индивидуално ќе одредат попусти на книгите, кои се движат од 10 до 70 отсто, така што по достапни цени ќе може да се збогати домашната библиотека. Ќе има штандовско претставување на изданијата, многу литературни читања, дружења со автори и промоции, рече на прес-конференција Сања Кондарко, проект-менаџер во Скопски саем. Покрај домашни, ќе има и издавачи од Србија и Албанија, а Амбасадата на Шведска ќе организира презентација на литература за деца. Дополнителен настан што ќе го организира Скопски саем (на 14 април) е предавањето на хрватскиот писател, социолог и мотивациски говорник Бруно Шимлеша, кој е меѓу десет најчитани хрватски автори на книги од областа на популарната психологија.  Според најавите, саемот ќе го отворат писателите Раде Силјан и Сашо Димоски.Работното време на Саемот е од 10 до 20 часот, цената на влезницата е 30 денари, односно 20 денари за групни посети. |Over 70 publishing houses will take part on 28. Fair of the book which will officially be open the evening at 19 o'clock, in the Metropolis arena.For visitors the exhibition will be open from tomorrow to April 18. From the Skopje fair expect about 40,000 visitors at the Fair of the book which, after the Exhibition of furniture, is the second trade fair event after attendance in Skopje. You will be offered the literature of domestic and foreign authors, белетристика, scientific publications, books for children, textbooks. Publishers will arrange and promotions and meetings with the authors on their stands, but in the promotional center in the Metropolis arena in which the seven fair days are planned and over 30 specials. - The fair of the book is one of the most attractive fairs which traditionally attracts a large number of audience. Around 40 thousand visitors expect in the саемските days of the 12-th to April 18. The offer is interesting and is for every taste and for every pocket. Exhibitors individually will determine the discounts on the books, ranging from 10 to 70 percent, so that after the available prices will be able to enrich the home library. There will be штандовско representation of publications, many literary readings, gatherings with authors and promotions, said at a press conference Sanja Кондарко, project manager at international Skopje trade fair. In addition to the domestic, there will be publishers from Serbia and Albania, and the Embassy of Sweden will organise a presentation of literature for children. An additional event will organize the international Skopje trade fair (14th April) is the surrender of the Croatian novelist, sociologist and motivational speaker Bruno Шимлеша, which is among the ten најчитани Croatian authors of the books of the field of popular psychology. According to the log, the exhibition will open up the writers Rade Силјан and Saso Димоски.The working time of the Fair is from 10 to 20 pm, the price of влезницата is 30 dinars, and 20 dinars for group visits. |||Telma|2016-04-11 09:45
http://www.telma.com.mk/vesti/situacijata-na-juzhnata-granica-e-stabilna-i-mirna|Ситуацијата на јужната граница е стабилна и мирна|The situation on the southern border is stable and calm|Ситуацијата на македонско-грчката граница утрово е стабилна и мирна, по вчерашниот насилен обид за влегување на македонска територија од страна на бегалците кои се наоѓаат во кампот во Идомени. Според раководителот на ПТЦ Гевгелија Зоран Лазаровски, ситуацијата во и околу кампот е мирна, како што е и на граничниот камен 59 и дека во Гевгелија е видливо зголеменото присуство на нашите безбедносни сили, кои се подготвени да интервенираат во секој момент во заштита на границата.  Директорот на болницата Сретко Јованов утрово за МИА изјави дека само еден, од 15 - те повредени припадници на безбедносните сили поради сериозноста на повредите во пределот на гениталиите е префрлен на лекување во Клиничкиот центар во Скопје, а останатите 14 по санирање на повредите се вратени во своите единици. |The situation of the Macedonian-Greek border this morning is stable and calm, after yesterday's violent attempt for entry of Macedonian territory by the refugees located in a camp in the Идомени. According to the head of the ПТЦ Gevgelija, Zoran Лазаровски, the situation in and around the camp is calm, as it is a border stone 59 and that in Gevgelija is visibly increased the presence of our security forces, who are ready to intervene at any moment in the protection of the border. The director of the hospital Сретко Jovanov this morning for the MIA said that the only one, of the 15 injured members of the security forces because of the severity of the injuries in the genital area is transferred to the treatment in the Clinical centre in Skopje, and the remaining 14 after curing of the injuries were sent back to their units. |||Telma|2016-04-11 09:38
http://www.telma.com.mk/vesti/dzhon-keri-vo-istoriska-poseta-na-hiroshima|Џон Кери во историска посета на Хирошима|John Kerry in a historic visit to Hiroshima|Американскиот државен секретар Џон Кери и министрите за надворешни работи на останатите шест земји од Г-7, седумте индустриски најразвиени држави во светот, денеска во меморијалниот Парк и музеј во Хирошима им оддадоа почит на 140.000 жртви на американското бомбардирање на 6 август 1945 година, пренесоа американските медиуми.Во Г-7 сега членуваат САД, Јапонија, Велика Британија, Франција, Германија, Италија и Канада.Кери е првиот американски државен секретар, кој го посетува музејот на жртвите на бомбардирањето на Хирошима, посочуваат британските медиуми. Споменикот за првпат го посетуваат и министрите за надворешни работи на Франција и Велика Британија - другите две нуклеарни држави во Г-7, освен САД.- Се надевам дека оваа посета пред светот ќе покаже колку е важен мирот и колку е важно силните сојузници да работат заедно за светот да го направат побезбеден и за да можеме на крајот да го ослободиме од оружјето за масово уништување, изјави Кери пред јапонскиот шеф на дипломатијата Фумио Кишида, домаќин на средбата на министрите за надворешни работи и пратеник од Хирошима.- Ние ќе се вратиме кон минатото и ќе им одадеме почит на загинатите, но оваа посета не е посветена на минатото. Таа е посветена на сегашноста и пред се на иднината, на силата на односите кои ги изградивме, додаде државниот секретар, цитиран од британските медиуми.Кишида изјави дека министрите за надворешни работи ќе дискутираат за борбата со тероризмот, безбедноста на морепловството и настаните во Северна Кореја, Украина и на Блискиот исток. |U.s. secretary of state John Kerry and ministers of foreign affairs of the remaining six countries of the g7, the seven industrial most developed countries in the world, today in memorial Park and museum in Hiroshima they оддадоа respect per 140,000 victims of the american bombing of 6 August 1945, transferred the american media.In the G-7 now are members of the united states, Japan, Britain, France, Germany, Italy and Canada.Kerry is the first american secretary of state, who is visiting the museum of the victims of the bombing of Hiroshima, reported british media. The monument for the first time attended by the ministers for foreign affairs of France and The Uk - the other two nuclear states in the G-7, except the united states.- I hope that this visit before the world will show how much is important the peace and how important strong allies to work together for the world to make it safer and to be able at the end to rid of the weapon for масово destruction, said Kerry before the japanese head of the diplomacy Фумио Кишида, the host of the meeting of the ministers for foreign affairs and mp from Hiroshima.- We will go back to the past and will одадеме tribute to the fallen, but this visit is not committed to the past. She is dedicated to the present and to the future, on the strength of the relationship that you built, added the state secretary, quoted by the british media.Кишида said that the ministers for foreign affairs will discuss the fight with terrorism, the safety of boating and the events in North Korea, the Ukraine and the Middle east. |||Telma|2016-04-11 09:36
http://www.telma.com.mk/vesti/mvr-povredeni-23-pripadnici-na-policijata-i-arm-vo-incidentot-so-migrantite|МВР: Повредени 23 припадници на полицијата и АРМ во инцидентот со мигрантите|MOI: Injured 23 members of the police and the ARMY in the incident with the migrants|Во вчерашните нереди со мигрантите кои насилно се обидоа да влезат во Македонија од Грција, се повредени 23 макеоднски службеници од кои 14 полицајци  и девет припадници на АРМ, оштетени се три возила на МВР и пет на АРМ, како и повеќе полициски штитови и друга  опрема. Нема повредени службеници од меѓународните полициски сили кои се на границата за обезбедување на протокот на мигрантите, информира Министерството за внатрешни работи (МВР) преку соопштениево кое детално појаснува за вчерашниот инцидент на јужната граница. Според првичните проценки, наведуваат од МВР, во нередите учествувале повеќе од 3000 мигранти. Во текот на целиот настан, се вели во соопштението, грчките полициски службеници воопшто не интервенираа во спречување на нередите на граничната линија.- Вчера,  по претходно добиени сознанија дека околу 09.00 часот на Гранична камен 59 можно е да дојде до протести и обид за насилен и организиран илегален влез на мигранти на територијата на Република Македонија, беа преземени мерки за засилено обезбедување на државната граница кон Република Грција. Преземените мерки вклучуваа и засилено присуство на припадниците на МВР и АРМ на Република Македонија како и на странските полициски службеници од Унгарија,Чешка,Србија,Словенија, Хрватска и Австрија распоредени на територијата на Република Македонија, чии активности се поддржани во рамки на ЕУ специјалните мерки за поддршка на Република Македонија за справување со мигрантската криза на јужната граница во светло на европската мигрантска криза, стои во соопштението.Од МВР додаваат дека во 09:30 часот на граничен камен 59 дошле претставници од грчката полиција и побарале да се оствари средба помеѓу претставници на мигрантите и претставник на нашите гранични служби со цел на оваа средба  мигрантите лично да се уверат околу гласините дека границата е отворена, односно мигрантите да се откажат од идејата за влез во Република Македонија. Во 10:15 часот, наведуваат, на Граничниот камен  59 дојдоа претставници од мигрантите, грчки полициски службеници и новинарски екипи. При тоа мигрантите се интересираа зошто државната граница е затворена и кога повторно ќе се отвори. Од страна на претставник на МВР им е одговорено на прашањата по што мигрантите во 10:35 часот си заминаа и се повлекоа во грчкиот камп.Потоа во 10:50 часот поголема група на мигранти, помеѓу 1000 и 2000 лица, почнаа со насилни протести на околу 100-200 метри десно од граничен камен 59, со извикување, фрлање камења и разни предмети. Од страна на униформирани полициски службеници од МВР и АРМ веднаш е почнато со одбивање на мигрантите при што употребени се и хемиски средства - солзавец. По половина час е пробиена заштитната ограда и група од 20 до 30 мигранти се обидоа илегално да влезат на територијата на Република Македонија, кои веднаш се спречени во намерата и вратени на територијата на Република Грција. Друга група мигранти, пак, според проценките меѓу 500-1000 лица, се обидоа да направат пробивање на оградата и лево од граничен камен 59, со каменување кон нашите безбедносни сили. Во 14.00 часот поголем дел од мигрантите се повлекоа на околу 50-100 метри на грчка територија и состојбата делумно е ставена под контрола, со тоа што во тој период во функција се ставени и водени топови.- Во 14:45 часот е добиена информација дека мигрантите подготвувале молотови коктели за да ги фрлат кон нашите безбедносни сили, при што е издадена наредба безбедноста да се подигне на највисоко ниво. Се до 18:00 часот група од околу стотина мигранти од грчка територија континуирано вршела каменување на нашите служби. Половина час подоцна околу 18:30 часот состојбата е нормализирана, а сите групи мигранти се повлечени во длабочина кон грчка територија, се вели во соопштението од МВР.|In yesterday's unrests with the migrants who forcibly tried to enter Macedonia from Greece, injuring 23 макеоднски officers of which 14 policemen and nine members of the ARM, damaged three vehicles of the ministry of INTERIOR and five of the ARM, as well as several police shields and other equipment. No injured officers from the international police forces that are on the border for the provision of the flow of migrants, inform the Ministry of interior (MOI) through the соопштениево which in detail clarifies for yesterday's incident on southern border. According to initial estimates, indicated by the MI, in нередите participated more than 3000 migrants. In the course of the entire event, said in a statement, Greek police officers had not intervened in the prevention of нередите of the border line.- Yesterday, after the previously obtained findings that around 09.00 pm the Border stone 59 it is possible to come to the protests and an attempt for the violent and organized the illegal entry of migrants on the territory of the Republic of Macedonia, were taken measures for enhanced securing of the state border towards the Republic of Greece. The measures undertaken included the reinforced presence of the members of the ministry of INTERIOR and the ARMY of the Republic of Macedonia as well as foreign police officers from Hungary,the Czech republic,Serbia,Slovenia, Croatia and Austria deployed on the territory of the Republic of Macedonia, whose activities are supported in the framework of the EU special measures for the support of the Republic of Macedonia for dealing with the мигрантската crisis on the southern border in light of the european мигрантска crisis, stands in the statement.MOI added that at 09:30 pm at the border stone 59 came the representatives of the Greek police and requested to establish a meeting between the representatives of the migrants and a representative of our border services, with the goal of this meeting migrants personally to ensure about the rumor that the border is open, i.e. the migrants to give up the idea of entry into the Republic of Macedonia. At 10:15 pm, they stated, the Border stone 59 came representatives of migrants, the Greek police officers and news crews. In addition, migrants were interested why the state border is closed, and when again you open. By the representative of the ministry of INTERIOR they answered the questions, after which the migrants at 10:35 pm you're sheltered and retreated into the Greek camp.Then at 10:50 pm a larger group of migrants, between 1000 and 2000 persons, began with the violent protests of around 100-200 meters to the right of the border stone 59, with извикување, throwing stones and various objects. From the side of uniformed police officers from the INTERIOR ministry and the ARMY immediately started with the refusal of the migrants in what used to be and chemical means - lachrymatory. After a half hour is пробиена the security fence and the group of 20 to 30 migrants tried illegally to enter the territory of the Republic of Macedonia, which is immediately inhibited in the intention and returned to the territory of the Republic of Greece. Another group of migrants, on the other hand, according to the estimates of between 500-1000 persons, tried to make the breaching of the fence and to the left of the border stone 59, with каменување to our security forces. At 14.00 pm the greater part of the migrants retreated to around 50-100 metres of the Greek territory and the situation is partially placed under control, with the result that in that period in the function are placed and guided cannon.- At 14:45 pm is obtained information that the migrants подготвувале molotov cocktails to throw towards our security forces, during which the validity of the order safety to raise at the highest level. Until 18:00 pm a group of about one hundred migrants on Greek territory continuously have performed каменување of our services. Half an hour later, around 18:30 pm the situation is normalized, and all groups of migrants are drawn in depth towards the Greek territory, said in a statement from the ministry of INTERIOR.|||Telma|2016-04-11 09:31
